bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,3.460542086047817e-08
AL1 0,H2 Fuel Cell,4.896946232663211e-09
AL1 0,H2 turbine,1.744517866330523e-08
AL1 0,photocatalysis,2.3077929108931497e-07
AT1 0,H2 Electrolysis,1.6717003193732103e-08
AT1 0,H2 Fuel Cell,5.418025974105167e-09
AT1 0,H2 turbine,1.9415170607120894e-08
AT1 0,photocatalysis,1.0164229041286005e-08
AT1 1,H2 Electrolysis,5.465498909508519e-08
AT1 1,H2 Fuel Cell,5.127526281174235e-09
AT1 1,H2 turbine,1.8542769504434446e-08
AT1 1,photocatalysis,8.43483628024116e-09
AT1 2,H2 Electrolysis,1.8193281117044154e-08
AT1 2,H2 Fuel Cell,5.409475975600296e-09
AT1 2,H2 turbine,1.9385886006960975e-08
AT1 2,photocatalysis,9.652934434339231e-09
BA1 0,H2 Electrolysis,3.760575168351705e-08
BA1 0,H2 Fuel Cell,5.019991098379674e-09
BA1 0,H2 turbine,1.744864722769115e-08
BA1 0,photocatalysis,2.2565403582195176e-08
BE1 0,H2 Electrolysis,0.0161044683638562
BE1 0,H2 Fuel Cell,5.142701829137746e-09
BE1 0,H2 turbine,2.429311665706612e-08
BE1 0,photocatalysis,7.561966619357703e-09
BE1 1,H2 Electrolysis,0.019763251961100722
BE1 1,H2 Fuel Cell,5.256871343046771e-09
BE1 1,H2 turbine,2.344506814788771e-08
BE1 1,photocatalysis,7.196241579187254e-09
BE1 2,H2 Electrolysis,1.523933501203038e-07
BE1 2,H2 Fuel Cell,5.415695297687692e-09
BE1 2,H2 turbine,2.9109034849474844e-08
BE1 2,photocatalysis,7.382492165726691e-09
BE1 3,H2 Electrolysis,0.004340527147303408
BE1 3,H2 Fuel Cell,5.342353224601297e-09
BE1 3,H2 turbine,2.6133360221042233e-08
BE1 3,photocatalysis,7.176592273721916e-09
BG1 0,H2 Electrolysis,1.4506556704614744e-07
BG1 0,H2 Fuel Cell,4.9131628789910895e-09
BG1 0,H2 turbine,1.8374451776429384e-08
BG1 0,photocatalysis,7.922225746753969e-08
CH1 0,H2 Electrolysis,3.47358103044944e-08
CH1 0,H2 Fuel Cell,4.960303060081562e-09
CH1 0,H2 turbine,1.7433952896614895e-08
CH1 0,photocatalysis,9.908659086336588e-09
CH1 1,H2 Electrolysis,2.4547557632335764e-08
CH1 1,H2 Fuel Cell,4.9050838042634015e-09
CH1 1,H2 turbine,1.743007081226475e-08
CH1 1,photocatalysis,1.1271791950420728e-08
CZ1 0,H2 Electrolysis,1.4223837001941782e-08
CZ1 0,H2 Fuel Cell,5.764725169109106e-09
CZ1 0,H2 turbine,2.231211826231327e-08
CZ1 0,photocatalysis,7.677539200721571e-09
CZ1 1,H2 Electrolysis,1.7987726719591805e-08
CZ1 1,H2 Fuel Cell,5.662631311862753e-09
CZ1 1,H2 turbine,2.17972085654108e-08
CZ1 1,photocatalysis,7.64510585006523e-09
CZ1 2,H2 Electrolysis,1.3372062306811424e-08
CZ1 2,H2 Fuel Cell,5.892854504283392e-09
CZ1 2,H2 turbine,2.2543585500057534e-08
CZ1 2,photocatalysis,7.745622344095236e-09
DE1 0,H2 Electrolysis,1.9970756756563356e-08
DE1 0,H2 Fuel Cell,5.471843077046425e-09
DE1 0,H2 turbine,2.4043885290508643e-08
DE1 0,photocatalysis,8.013061535190894e-09
DE1 1,H2 Electrolysis,3.0013963482096926e-08
DE1 1,H2 Fuel Cell,5.405004384568235e-09
DE1 1,H2 turbine,2.3183710045713655e-08
DE1 1,photocatalysis,6.924425653857104e-09
DE1 10,H2 Electrolysis,1.8771624558114962e-08
DE1 10,H2 Fuel Cell,5.8020868742036124e-09
DE1 10,H2 turbine,2.388460418986237e-08
DE1 10,photocatalysis,7.15905553610853e-09
DE1 11,H2 Electrolysis,2.5407593517764044e-08
DE1 11,H2 Fuel Cell,5.342457856146885e-09
DE1 11,H2 turbine,2.3698886008901085e-08
DE1 11,photocatalysis,6.779377291911263e-09
DE1 12,H2 Electrolysis,0.10506942691192288
DE1 12,H2 Fuel Cell,5.2306407081465224e-09
DE1 12,H2 turbine,2.3110421731111047e-08
DE1 12,photocatalysis,6.616067122104295e-09
DE1 13,H2 Electrolysis,2.0044597709419567e-08
DE1 13,H2 Fuel Cell,5.382443127773649e-09
DE1 13,H2 turbine,2.2119129050690835e-08
DE1 13,photocatalysis,8.66489038474851e-09
DE1 14,H2 Electrolysis,1.6193372490562282e-08
DE1 14,H2 Fuel Cell,5.423650341603908e-09
DE1 14,H2 turbine,2.3080375350698827e-08
DE1 14,photocatalysis,8.578330437169876e-09
DE1 15,H2 Electrolysis,1.626953278965227e-08
DE1 15,H2 Fuel Cell,5.497658628242719e-09
DE1 15,H2 turbine,2.303325469893592e-08
DE1 15,photocatalysis,7.221255291572477e-09
DE1 16,H2 Electrolysis,2.449796328873833e-08
DE1 16,H2 Fuel Cell,5.383209264961779e-09
DE1 16,H2 turbine,2.2963651248698956e-08
DE1 16,photocatalysis,7.732383406073849e-09
DE1 17,H2 Electrolysis,4.51553598557699e-08
DE1 17,H2 Fuel Cell,5.352814856045882e-09
DE1 17,H2 turbine,2.095378781079367e-08
DE1 17,photocatalysis,9.107115641736186e-09
DE1 18,H2 Electrolysis,1.8877679085873433e-08
DE1 18,H2 Fuel Cell,5.479690899683397e-09
DE1 18,H2 turbine,2.2162793300738573e-08
DE1 18,photocatalysis,7.835698124561305e-09
DE1 19,H2 Electrolysis,2.4834666702225564e-08
DE1 19,H2 Fuel Cell,5.449381132361153e-09
DE1 19,H2 turbine,2.3206174946084453e-08
DE1 19,photocatalysis,6.881890001561212e-09
DE1 2,H2 Electrolysis,2.1051760298706174e-08
DE1 2,H2 Fuel Cell,5.394344069593656e-09
DE1 2,H2 turbine,2.3883125164985828e-08
DE1 2,photocatalysis,7.134933521437865e-09
DE1 20,H2 Electrolysis,2.264943757146291e-08
DE1 20,H2 Fuel Cell,5.42692633715163e-09
DE1 20,H2 turbine,2.3937924492648852e-08
DE1 20,photocatalysis,6.912807595256372e-09
DE1 21,H2 Electrolysis,0.008056465475146454
DE1 21,H2 Fuel Cell,5.131975408045576e-09
DE1 21,H2 turbine,2.3121833654657785e-08
DE1 21,photocatalysis,6.985111426819154e-09
DE1 22,H2 Electrolysis,1.83971100140765e-08
DE1 22,H2 Fuel Cell,5.401585136177509e-09
DE1 22,H2 turbine,2.2792173796930616e-08
DE1 22,photocatalysis,8.102025767192144e-09
DE1 3,H2 Electrolysis,2.3198269553082025e-08
DE1 3,H2 Fuel Cell,5.414267244167628e-09
DE1 3,H2 turbine,2.1286277099939553e-08
DE1 3,photocatalysis,8.639204905989578e-09
DE1 4,H2 Electrolysis,1.8922677962407503e-08
DE1 4,H2 Fuel Cell,5.741952980372781e-09
DE1 4,H2 turbine,2.349199558279376e-08
DE1 4,photocatalysis,7.097037315349939e-09
DE1 5,H2 Electrolysis,0.0692923429427583
DE1 5,H2 Fuel Cell,5.310996151909452e-09
DE1 5,H2 turbine,2.393171777476714e-08
DE1 5,photocatalysis,6.694884653534971e-09
DE1 6,H2 Electrolysis,1.7028861042760495e-08
DE1 6,H2 Fuel Cell,4.898723790401373e-09
DE1 6,H2 turbine,1.7756060989770294e-08
DE1 6,photocatalysis,8.684926808670659e-09
DE1 7,H2 Electrolysis,2.4860685210882635e-08
DE1 7,H2 Fuel Cell,5.559922822257621e-09
DE1 7,H2 turbine,2.3267741062121092e-08
DE1 7,photocatalysis,7.192071366497239e-09
DE1 8,H2 Electrolysis,0.05609646538968241
DE1 8,H2 Fuel Cell,5.227199666009608e-09
DE1 8,H2 turbine,2.377885580424301e-08
DE1 8,photocatalysis,6.704102059213045e-09
DE1 9,H2 Electrolysis,2.5003516708422168e-08
DE1 9,H2 Fuel Cell,5.706716706754416e-09
DE1 9,H2 turbine,2.3564769589706236e-08
DE1 9,photocatalysis,7.202233904164073e-09
DK1 0,H2 Electrolysis,0.4207769939313877
DK1 0,H2 Fuel Cell,4.927647362536458e-09
DK1 0,H2 turbine,2.314974021119988e-08
DK1 0,photocatalysis,6.628804690864571e-09
DK2 0,H2 Electrolysis,0.09134596106243065
DK2 0,H2 Fuel Cell,5.0172257302866725e-09
DK2 0,H2 turbine,2.3041228904265224e-08
DK2 0,photocatalysis,7.262278361884492e-09
EE6 0,H2 Electrolysis,0.014896971819220254
EE6 0,H2 Fuel Cell,4.65335555197569e-09
EE6 0,H2 turbine,1.8574214507297012e-08
EE6 0,photocatalysis,5.899411687202117e-09
ES1 0,H2 Electrolysis,0.049708799605585864
ES1 0,H2 Fuel Cell,4.442880238266098e-09
ES1 0,H2 turbine,1.7416720749813046e-08
ES1 0,photocatalysis,0.13943928679641032
ES1 1,H2 Electrolysis,1.3568458056763539e-08
ES1 1,H2 Fuel Cell,4.304797175835286e-09
ES1 1,H2 turbine,1.7493754100020627e-08
