bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,6.061144155060986e-08
AL1 0,H2 Fuel Cell,5.200458294301066e-09
AL1 0,H2 turbine,1.9600060987869356e-08
AL1 0,photocatalysis,1.3622028144404839e-08
AT1 0,H2 Electrolysis,1.6612695312141253e-08
AT1 0,H2 Fuel Cell,5.37660566635584e-09
AT1 0,H2 turbine,1.9613807765354378e-08
AT1 0,photocatalysis,8.359478529992978e-09
AT1 1,H2 Electrolysis,4.174778762555725e-08
AT1 1,H2 Fuel Cell,5.0521933416090426e-09
AT1 1,H2 turbine,1.955416397794704e-08
AT1 1,photocatalysis,8.367709257063522e-09
AT1 2,H2 Electrolysis,1.8349130012079675e-08
AT1 2,H2 Fuel Cell,5.360376729900567e-09
AT1 2,H2 turbine,1.9607697215450766e-08
AT1 2,photocatalysis,8.558139485376143e-09
BA1 0,H2 Electrolysis,2.4586558748821663e-08
BA1 0,H2 Fuel Cell,5.277090929211677e-09
BA1 0,H2 turbine,1.96012537908006e-08
BA1 0,photocatalysis,1.3636795605789145e-08
BE1 0,H2 Electrolysis,0.007997317249979945
BE1 0,H2 Fuel Cell,4.880640878225456e-09
BE1 0,H2 turbine,1.960087295891665e-08
BE1 0,photocatalysis,7.031558070170341e-09
BE1 1,H2 Electrolysis,1.481144146342289e-07
BE1 1,H2 Fuel Cell,4.942422619714052e-09
BE1 1,H2 turbine,1.961375819493098e-08
BE1 1,photocatalysis,6.688623218805867e-09
BE1 2,H2 Electrolysis,6.913921018509336e-08
BE1 2,H2 Fuel Cell,4.958126522486411e-09
BE1 2,H2 turbine,1.9524161777316258e-08
BE1 2,photocatalysis,6.943146207354395e-09
BE1 3,H2 Electrolysis,8.251204364394846e-08
BE1 3,H2 Fuel Cell,4.92027287511004e-09
BE1 3,H2 turbine,1.9558493784919122e-08
BE1 3,photocatalysis,6.933287092777045e-09
BG1 0,H2 Electrolysis,3.0438931820660653e-07
BG1 0,H2 Fuel Cell,5.2610520337601e-09
BG1 0,H2 turbine,2.0273733843159146e-08
BG1 0,photocatalysis,2.4847561703856967e-08
CH1 0,H2 Electrolysis,3.858249442804537e-08
CH1 0,H2 Fuel Cell,5.130354968247708e-09
CH1 0,H2 turbine,1.9583420454699703e-08
CH1 0,photocatalysis,8.589271218329247e-09
CH1 1,H2 Electrolysis,3.021283226765143e-08
CH1 1,H2 Fuel Cell,5.095917737304341e-09
CH1 1,H2 turbine,1.9586818616709456e-08
CH1 1,photocatalysis,9.49374477608399e-09
CZ1 0,H2 Electrolysis,1.6421050021770313e-08
CZ1 0,H2 Fuel Cell,5.434034964124723e-09
CZ1 0,H2 turbine,1.962384415512062e-08
CZ1 0,photocatalysis,6.837812626921074e-09
CZ1 1,H2 Electrolysis,2.060119786599153e-08
CZ1 1,H2 Fuel Cell,5.387647588559736e-09
CZ1 1,H2 turbine,1.9611496414231304e-08
CZ1 1,photocatalysis,6.826216709981121e-09
CZ1 2,H2 Electrolysis,1.4209614024173808e-08
CZ1 2,H2 Fuel Cell,5.505836263655147e-09
CZ1 2,H2 turbine,1.9651964837322507e-08
CZ1 2,photocatalysis,6.437507627022988e-09
DE1 0,H2 Electrolysis,1.800093616542589e-08
DE1 0,H2 Fuel Cell,5.0949321697580785e-09
DE1 0,H2 turbine,1.960365329404314e-08
DE1 0,photocatalysis,7.183103541490842e-09
DE1 1,H2 Electrolysis,2.5469472643657623e-08
DE1 1,H2 Fuel Cell,5.065001329220381e-09
DE1 1,H2 turbine,1.958239248023259e-08
DE1 1,photocatalysis,6.501462792158525e-09
DE1 10,H2 Electrolysis,1.8953552696739112e-08
DE1 10,H2 Fuel Cell,5.241412417174201e-09
DE1 10,H2 turbine,1.9842860749745604e-08
DE1 10,photocatalysis,6.655901552872296e-09
DE1 11,H2 Electrolysis,2.3293245013855362e-08
DE1 11,H2 Fuel Cell,4.976143033377109e-09
DE1 11,H2 turbine,1.9605987795258127e-08
DE1 11,photocatalysis,6.322075474841723e-09
DE1 12,H2 Electrolysis,0.08487276169667393
DE1 12,H2 Fuel Cell,5.037011146890357e-09
DE1 12,H2 turbine,1.963167418156363e-08
DE1 12,photocatalysis,5.891711095284615e-09
DE1 13,H2 Electrolysis,1.943374351369442e-08
DE1 13,H2 Fuel Cell,5.145764093398854e-09
DE1 13,H2 turbine,1.959427857425792e-08
DE1 13,photocatalysis,7.771994546886175e-09
DE1 14,H2 Electrolysis,1.660107045018714e-08
DE1 14,H2 Fuel Cell,5.125040117957511e-09
DE1 14,H2 turbine,1.9614008156098678e-08
DE1 14,photocatalysis,7.535876312234636e-09
DE1 15,H2 Electrolysis,1.7106433491903786e-08
DE1 15,H2 Fuel Cell,5.132373333913184e-09
DE1 15,H2 turbine,1.9602129214451322e-08
DE1 15,photocatalysis,6.6855595348633505e-09
DE1 16,H2 Electrolysis,2.059274063867224e-08
DE1 16,H2 Fuel Cell,4.945665713770423e-09
DE1 16,H2 turbine,1.9559823862573475e-08
DE1 16,photocatalysis,7.0955542114209295e-09
DE1 17,H2 Electrolysis,2.7667753532885246e-08
DE1 17,H2 Fuel Cell,5.167852360560927e-09
DE1 17,H2 turbine,1.959277498965259e-08
DE1 17,photocatalysis,8.150167521204223e-09
DE1 18,H2 Electrolysis,1.83359988539917e-08
DE1 18,H2 Fuel Cell,5.187316521285854e-09
DE1 18,H2 turbine,1.9603972493190935e-08
DE1 18,photocatalysis,7.169003008692567e-09
DE1 19,H2 Electrolysis,2.6032772013129625e-08
DE1 19,H2 Fuel Cell,5.152908634421535e-09
DE1 19,H2 turbine,1.9638738947801857e-08
DE1 19,photocatalysis,6.355081662509782e-09
DE1 2,H2 Electrolysis,2.0466950943191408e-08
DE1 2,H2 Fuel Cell,4.9838711428700584e-09
DE1 2,H2 turbine,1.961981742367009e-08
DE1 2,photocatalysis,6.590893206153232e-09
DE1 20,H2 Electrolysis,2.0369338628717614e-08
DE1 20,H2 Fuel Cell,5.0312737439747834e-09
DE1 20,H2 turbine,1.9618732393658442e-08
DE1 20,photocatalysis,6.407552399350768e-09
DE1 21,H2 Electrolysis,0.0010713222452386638
DE1 21,H2 Fuel Cell,5.030906167811446e-09
DE1 21,H2 turbine,1.9640192316204104e-08
DE1 21,photocatalysis,6.3865787817404166e-09
DE1 22,H2 Electrolysis,1.7679123754476805e-08
DE1 22,H2 Fuel Cell,5.0745216255164255e-09
DE1 22,H2 turbine,1.961351089403482e-08
DE1 22,photocatalysis,7.256380850526223e-09
DE1 3,H2 Electrolysis,2.1590279157290147e-08
DE1 3,H2 Fuel Cell,5.200066564025928e-09
DE1 3,H2 turbine,1.9610205617180053e-08
DE1 3,photocatalysis,7.774449478533512e-09
DE1 4,H2 Electrolysis,2.0317351895394408e-08
DE1 4,H2 Fuel Cell,5.2841690171061865e-09
DE1 4,H2 turbine,1.9784168641155774e-08
DE1 4,photocatalysis,6.496139373933684e-09
DE1 5,H2 Electrolysis,0.010221901440976617
DE1 5,H2 Fuel Cell,5.041720317242007e-09
DE1 5,H2 turbine,1.9625517216488576e-08
