bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,6.303083921700417e-08
AL1 0,H2 Fuel Cell,5.495775268278942e-09
AL1 0,H2 turbine,2.1541413427989178e-08
AL1 0,photocatalysis,3.433594227508906e-08
AT1 0,H2 Electrolysis,2.3502442827907595e-08
AT1 0,H2 Fuel Cell,6.161936556743292e-09
AT1 0,H2 turbine,2.39534600652579e-08
AT1 0,photocatalysis,8.722129921808349e-09
AT1 1,H2 Electrolysis,6.513623979699579e-08
AT1 1,H2 Fuel Cell,5.871715019621546e-09
AT1 1,H2 turbine,2.3023191009827748e-08
AT1 1,photocatalysis,7.975881676754073e-09
AT1 2,H2 Electrolysis,2.4323501125917006e-08
AT1 2,H2 Fuel Cell,6.174782335843195e-09
AT1 2,H2 turbine,2.3926164903029178e-08
AT1 2,photocatalysis,8.372920158597641e-09
BA1 0,H2 Electrolysis,6.83439815472773e-08
BA1 0,H2 Fuel Cell,5.674684770461774e-09
BA1 0,H2 turbine,2.154342077451607e-08
BA1 0,photocatalysis,1.5201815945610695e-08
BE1 0,H2 Electrolysis,0.01651020038767045
BE1 0,H2 Fuel Cell,5.9258149021012804e-09
BE1 0,H2 turbine,2.98392327417222e-08
BE1 0,photocatalysis,6.955028972791821e-09
BE1 1,H2 Electrolysis,0.019905428591331816
BE1 1,H2 Fuel Cell,6.075105250386583e-09
BE1 1,H2 turbine,2.8865583462871042e-08
BE1 1,photocatalysis,6.667201420113898e-09
BE1 2,H2 Electrolysis,1.9126580306560835e-07
BE1 2,H2 Fuel Cell,6.2879307650446725e-09
BE1 2,H2 turbine,3.602921206445418e-08
BE1 2,photocatalysis,6.936649694642908e-09
BE1 3,H2 Electrolysis,0.004689172346258312
BE1 3,H2 Fuel Cell,6.151962718843821e-09
BE1 3,H2 turbine,3.203864977444762e-08
BE1 3,photocatalysis,6.8246387446944906e-09
BG1 0,H2 Electrolysis,3.402011626216169e-07
BG1 0,H2 Fuel Cell,5.4970199048053545e-09
BG1 0,H2 turbine,2.1687330561105988e-08
BG1 0,photocatalysis,2.5266724349317713e-08
CH1 0,H2 Electrolysis,3.9092393846298166e-08
CH1 0,H2 Fuel Cell,5.655243040232687e-09
CH1 0,H2 turbine,2.1556936537265946e-08
