bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,2.610598137929921e-08
AL1 0,H2 Fuel Cell,4.915626714108133e-09
AL1 0,H2 turbine,1.6169540373002715e-08
AL1 0,photocatalysis,5.96403273800613e-08
AT1 0,H2 Electrolysis,1.4870158239127674e-08
AT1 0,H2 Fuel Cell,5.3362280930992115e-09
AT1 0,H2 turbine,1.7417127675765304e-08
AT1 0,photocatalysis,9.180573450447346e-09
AT1 1,H2 Electrolysis,3.7957243877794446e-08
AT1 1,H2 Fuel Cell,5.011006292379464e-09
AT1 1,H2 turbine,1.6841174056522096e-08
AT1 1,photocatalysis,9.012366334405922e-09
AT1 2,H2 Electrolysis,1.5880081507788705e-08
AT1 2,H2 Fuel Cell,5.300328519100824e-09
AT1 2,H2 turbine,1.7433282810985394e-08
AT1 2,photocatalysis,9.021154370583917e-09
BA1 0,H2 Electrolysis,2.2818077919998418e-08
BA1 0,H2 Fuel Cell,5.073962034903749e-09
BA1 0,H2 turbine,1.617205374412045e-08
BA1 0,photocatalysis,1.8651147160643673e-08
BE1 0,H2 Electrolysis,0.0077763068758675774
BE1 0,H2 Fuel Cell,5.102304139628938e-09
BE1 0,H2 turbine,2.2483038185076258e-08
BE1 0,photocatalysis,7.704047355307128e-09
BE1 1,H2 Electrolysis,0.0019676139781691477
BE1 1,H2 Fuel Cell,5.244997069428113e-09
BE1 1,H2 turbine,2.194111013444536e-08
BE1 1,photocatalysis,7.2958987204440695e-09
BE1 2,H2 Electrolysis,7.468962539817697e-08
BE1 2,H2 Fuel Cell,5.493990741948571e-09
BE1 2,H2 turbine,2.663186015755183e-08
BE1 2,photocatalysis,7.61129735076884e-09
BE1 3,H2 Electrolysis,8.766345908579153e-08
BE1 3,H2 Fuel Cell,5.37071294009274e-09
BE1 3,H2 turbine,2.412630872179305e-08
BE1 3,photocatalysis,7.557981154913607e-09
BG1 0,H2 Electrolysis,3.092353573654729e-08
BG1 0,H2 Fuel Cell,5.060643726177692e-09
BG1 0,H2 turbine,1.7223405237778154e-08
BG1 0,photocatalysis,4.29449160282246e-08
CH1 0,H2 Electrolysis,2.989054077741568e-08
