bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,8.981620375946164e-08
AL1 0,H2 Fuel Cell,4.84550214439082e-09
AL1 0,H2 turbine,1.7701009222351062e-08
AL1 0,photocatalysis,1.8717170984791622e-08
AT1 0,H2 Electrolysis,2.0379411402920337e-08
AT1 0,H2 Fuel Cell,5.480004108659338e-09
AT1 0,H2 turbine,1.998448979982222e-08
AT1 0,photocatalysis,6.784585190006803e-09
AT1 1,H2 Electrolysis,6.794431256551802e-08
AT1 1,H2 Fuel Cell,5.2498437522112876e-09
AT1 1,H2 turbine,1.927456957610722e-08
AT1 1,photocatalysis,6.314644584201665e-09
AT1 2,H2 Electrolysis,2.2021242767306047e-08
AT1 2,H2 Fuel Cell,5.503844819312292e-09
AT1 2,H2 turbine,1.9950125505458524e-08
AT1 2,photocatalysis,6.5422270568031514e-09
BA1 0,H2 Electrolysis,3.6532749506569566e-08
BA1 0,H2 Fuel Cell,5.036943443985683e-09
BA1 0,H2 turbine,1.771310518935048e-08
BA1 0,photocatalysis,1.0301993147608668e-08
BE1 0,H2 Electrolysis,0.01691100807850307
BE1 0,H2 Fuel Cell,5.2727793001580596e-09
BE1 0,H2 turbine,2.511180715042102e-08
BE1 0,photocatalysis,5.617711278057788e-09
BE1 1,H2 Electrolysis,0.021092047166705066
BE1 1,H2 Fuel Cell,5.397655638855448e-09
BE1 1,H2 turbine,2.41861621564886e-08
BE1 1,photocatalysis,5.4217333752998764e-09
BE1 2,H2 Electrolysis,1.9526051210344185e-07
BE1 2,H2 Fuel Cell,5.555344105735778e-09
BE1 2,H2 turbine,3.004017207157904e-08
BE1 2,photocatalysis,5.61316067081498e-09
BE1 3,H2 Electrolysis,0.004704263176934458
BE1 3,H2 Fuel Cell,5.442973256111392e-09
BE1 3,H2 turbine,2.6808980283612626e-08
BE1 3,photocatalysis,5.5328970723985936e-09
BG1 0,H2 Electrolysis,4.932325825556691e-06
BG1 0,H2 Fuel Cell,4.885532637847773e-09
BG1 0,H2 turbine,1.8579848039858673e-08
BG1 0,photocatalysis,1.5157807293536982e-08
CH1 0,H2 Electrolysis,4.0159417286538216e-08
CH1 0,H2 Fuel Cell,5.0552136439987524e-09
CH1 0,H2 turbine,1.7745499248927847e-08
CH1 0,photocatalysis,6.7482768008812145e-09
CH1 1,H2 Electrolysis,2.772549082375354e-08
CH1 1,H2 Fuel Cell,5.008435656701712e-09
CH1 1,H2 turbine,1.7717591485027195e-08
CH1 1,photocatalysis,7.339559565497647e-09
CZ1 0,H2 Electrolysis,1.7312487326081595e-08
CZ1 0,H2 Fuel Cell,5.968200184254579e-09
CZ1 0,H2 turbine,2.2853922291658996e-08
CZ1 0,photocatalysis,5.662438609608543e-09
CZ1 1,H2 Electrolysis,2.233251826705578e-08
CZ1 1,H2 Fuel Cell,5.82497791405067e-09
CZ1 1,H2 turbine,2.2448602423572133e-08
CZ1 1,photocatalysis,5.597225054429696e-09
CZ1 2,H2 Electrolysis,1.7318856006915827e-08
CZ1 2,H2 Fuel Cell,6.082012553290921e-09
CZ1 2,H2 turbine,2.3070089079984335e-08
CZ1 2,photocatalysis,5.734705657287711e-09
DE1 0,H2 Electrolysis,2.1695530813591614e-08
DE1 0,H2 Fuel Cell,5.549881559361273e-09
DE1 0,H2 turbine,2.4539852476093025e-08
DE1 0,photocatalysis,5.861100600287359e-09
DE1 1,H2 Electrolysis,3.484264349769943e-08
DE1 1,H2 Fuel Cell,5.5725677048425105e-09
DE1 1,H2 turbine,2.3724725462141322e-08
DE1 1,photocatalysis,5.3640687498329555e-09
DE1 10,H2 Electrolysis,2.2678738012145513e-08
DE1 10,H2 Fuel Cell,6.021015277003841e-09
DE1 10,H2 turbine,2.5026241838264207e-08
DE1 10,photocatalysis,5.422886715256331e-09
DE1 11,H2 Electrolysis,2.5054018799265387e-08
DE1 11,H2 Fuel Cell,5.508904805563781e-09
DE1 11,H2 turbine,2.4385158659994636e-08
DE1 11,photocatalysis,5.196632395570818e-09
DE1 12,H2 Electrolysis,0.11353683773830897
DE1 12,H2 Fuel Cell,5.367730369584743e-09
DE1 12,H2 turbine,2.3883863630502064e-08
DE1 12,photocatalysis,5.0905293376021926e-09
DE1 13,H2 Electrolysis,2.361877777714925e-08
DE1 13,H2 Fuel Cell,5.492283849476854e-09
DE1 13,H2 turbine,2.3031263571455844e-08
DE1 13,photocatalysis,6.1912880534195595e-09
DE1 14,H2 Electrolysis,1.8730223266008326e-08
DE1 14,H2 Fuel Cell,5.498976898321123e-09
DE1 14,H2 turbine,2.3385383858132262e-08
DE1 14,photocatalysis,6.1617242925613325e-09
