bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,1.0353361506222254e-07
AL1 0,H2 Fuel Cell,6.693693464220027e-09
AL1 0,H2 turbine,2.1210264634490805e-08
AL1 0,photocatalysis,8.125926290260508e-08
AT1 0,H2 Electrolysis,2.376965892007681e-08
AT1 0,H2 Fuel Cell,9.907683062848893e-09
AT1 0,H2 turbine,2.561829478135857e-08
AT1 0,photocatalysis,1.0602712265227397e-08
AT1 1,H2 Electrolysis,3.5558490344710934e-08
AT1 1,H2 Fuel Cell,7.868422443278173e-09
AT1 1,H2 turbine,2.6195290873481343e-08
AT1 1,photocatalysis,9.655086818747118e-09
AT1 2,H2 Electrolysis,2.5713605676385767e-08
AT1 2,H2 Fuel Cell,9.799057933799269e-09
AT1 2,H2 turbine,2.5992886194944818e-08
AT1 2,photocatalysis,1.0146508240711433e-08
BA1 0,H2 Electrolysis,7.012181995643501e-08
BA1 0,H2 Fuel Cell,7.566634635662428e-09
BA1 0,H2 turbine,2.222199536964979e-08
BA1 0,photocatalysis,2.0499196580799365e-08
BE1 0,H2 Electrolysis,0.013350653350061773
BE1 0,H2 Fuel Cell,7.223813570238822e-09
BE1 0,H2 turbine,5.674108801481794e-08
BE1 0,photocatalysis,8.190401112157179e-09
BE1 1,H2 Electrolysis,0.016411574958867973
BE1 1,H2 Fuel Cell,8.11441040386578e-09
BE1 1,H2 turbine,5.0499260544700833e-08
BE1 1,photocatalysis,7.730014981167516e-09
BE1 2,H2 Electrolysis,3.6115482230979e-07
BE1 2,H2 Fuel Cell,8.83141072343123e-09
BE1 2,H2 turbine,9.789535062897996e-08
BE1 2,photocatalysis,8.107426497845831e-09
BE1 3,H2 Electrolysis,0.00041666406849144436
BE1 3,H2 Fuel Cell,8.290449098178845e-09
BE1 3,H2 turbine,7.33808359249362e-08
BE1 3,photocatalysis,8.031793171753694e-09
BG1 0,H2 Electrolysis,3.3348088276667193e-07
BG1 0,H2 Fuel Cell,6.7597588569634255e-09
BG1 0,H2 turbine,2.121735623454051e-08
BG1 0,photocatalysis,5.059066784166388e-08
CH1 0,H2 Electrolysis,3.188909985350748e-08
CH1 0,H2 Fuel Cell,7.239216180509179e-09
CH1 0,H2 turbine,2.2976584790994552e-08
CH1 0,photocatalysis,1.0395796706531956e-08
CH1 1,H2 Electrolysis,2.6569389436622614e-08
CH1 1,H2 Fuel Cell,6.961582733485088e-09
CH1 1,H2 turbine,2.2332023817208373e-08
CH1 1,photocatalysis,1.1704224878075646e-08
CZ1 0,H2 Electrolysis,2.2901574523007735e-08
CZ1 0,H2 Fuel Cell,1.322321250095182e-08
CZ1 0,H2 turbine,3.720289533887151e-08
CZ1 0,photocatalysis,8.156571204859159e-09
CZ1 1,H2 Electrolysis,5.702315283411346e-08
CZ1 1,H2 Fuel Cell,1.1786518368846837e-08
CZ1 1,H2 turbine,3.700406052719248e-08
CZ1 1,photocatalysis,8.13042749701692e-09
CZ1 2,H2 Electrolysis,1.761923178434685e-08
CZ1 2,H2 Fuel Cell,1.4027383151352641e-08
CZ1 2,H2 turbine,3.8977177814968064e-08
CZ1 2,photocatalysis,8.287472775478249e-09
DE1 0,H2 Electrolysis,2.11411253585321e-08
DE1 0,H2 Fuel Cell,9.310229411926587e-09
DE1 0,H2 turbine,5.308871648113784e-08
DE1 0,photocatalysis,8.467417774314363e-09
DE1 1,H2 Electrolysis,2.9428364651045373e-08
DE1 1,H2 Fuel Cell,9.257873022344288e-09
DE1 1,H2 turbine,4.519031398211805e-08
DE1 1,photocatalysis,7.577396916997506e-09
DE1 10,H2 Electrolysis,2.206123692170361e-08
DE1 10,H2 Fuel Cell,1.1937174824060701e-08
DE1 10,H2 turbine,5.10903673114198e-08
DE1 10,photocatalysis,7.739478965514527e-09
DE1 11,H2 Electrolysis,2.59031748386812e-08
DE1 11,H2 Fuel Cell,8.71185416440523e-09
DE1 11,H2 turbine,4.972619850868574e-08
DE1 11,photocatalysis,7.3749771065949605e-09
DE1 12,H2 Electrolysis,0.09861425556717648
DE1 12,H2 Fuel Cell,7.542467631937596e-09
DE1 12,H2 turbine,4.020542350325727e-08
DE1 12,photocatalysis,7.129167706053899e-09
DE1 13,H2 Electrolysis,2.097884910212973e-08
DE1 13,H2 Fuel Cell,8.872126754307872e-09
DE1 13,H2 turbine,3.5009473186295667e-08
DE1 13,photocatalysis,9.046390198135908e-09
DE1 14,H2 Electrolysis,1.6992754872159852e-08
DE1 14,H2 Fuel Cell,8.929086992770822e-09
DE1 14,H2 turbine,3.984572410322389e-08
DE1 14,photocatalysis,8.946016195371946e-09
DE1 15,H2 Electrolysis,1.8454306242965636e-08
DE1 15,H2 Fuel Cell,1.0216553620198526e-08
DE1 15,H2 turbine,4.159174412324648e-08
DE1 15,photocatalysis,7.755710982875813e-09
DE1 16,H2 Electrolysis,2.578078451681189e-08
DE1 16,H2 Fuel Cell,9.020954520142707e-09
DE1 16,H2 turbine,5.053834058411607e-08
DE1 16,photocatalysis,8.290630551666506e-09
DE1 17,H2 Electrolysis,4.465630405960671e-08
DE1 17,H2 Fuel Cell,8.897500248171623e-09
DE1 17,H2 turbine,3.225161711402637e-08
DE1 17,photocatalysis,9.533280870485258e-09
DE1 18,H2 Electrolysis,2.0298635403096225e-08
DE1 18,H2 Fuel Cell,1.0027752165337009e-08
DE1 18,H2 turbine,3.818983940917305e-08
DE1 18,photocatalysis,8.299074167187428e-09
DE1 19,H2 Electrolysis,3.404990189375853e-08
DE1 19,H2 Fuel Cell,9.550084641153096e-09
DE1 19,H2 turbine,4.356872164238794e-08
DE1 19,photocatalysis,7.463213581488997e-09
DE1 2,H2 Electrolysis,2.44128641586077e-08
DE1 2,H2 Fuel Cell,8.989651071547288e-09
DE1 2,H2 turbine,5.251970678476821e-08
DE1 2,photocatalysis,7.722253431906225e-09
DE1 20,H2 Electrolysis,2.4285508866312312e-08
DE1 20,H2 Fuel Cell,9.035405157819392e-09
DE1 20,H2 turbine,5.1937068805523905e-08
DE1 20,photocatalysis,7.510082569261817e-09
DE1 21,H2 Electrolysis,0.00507521742907207
DE1 21,H2 Fuel Cell,7.033107978977462e-09
DE1 21,H2 turbine,3.9932514635136414e-08
DE1 21,photocatalysis,7.539231966666851e-09
DE1 22,H2 Electrolysis,2.044839278374202e-08
DE1 22,H2 Fuel Cell,9.0387514693522e-09
DE1 22,H2 turbine,4.146673047270846e-08
DE1 22,photocatalysis,8.545921755528438e-09
DE1 3,H2 Electrolysis,2.4755753631575447e-08
DE1 3,H2 Fuel Cell,9.477871798903616e-09
DE1 3,H2 turbine,3.3914444487728186e-08
DE1 3,photocatalysis,9.051098918991848e-09
DE1 4,H2 Electrolysis,2.4468563307648764e-08
DE1 4,H2 Fuel Cell,1.1438662730424691e-08
DE1 4,H2 turbine,4.798028822345443e-08
DE1 4,photocatalysis,7.662073009443226e-09
DE1 5,H2 Electrolysis,0.07411790539895559
DE1 5,H2 Fuel Cell,8.035984629261795e-09
DE1 5,H2 turbine,5.2248072975599084e-08
DE1 5,photocatalysis,7.225598524954986e-09
DE1 6,H2 Electrolysis,2.0785876786453566e-08
DE1 6,H2 Fuel Cell,6.9305074134528026e-09
DE1 6,H2 turbine,2.3768634216060468e-08
DE1 6,photocatalysis,9.751604537999241e-09
DE1 7,H2 Electrolysis,3.425069219513591e-08
DE1 7,H2 Fuel Cell,1.0252046842008524e-08
DE1 7,H2 turbine,4.1167523960226445e-08
DE1 7,photocatalysis,7.762987151037877e-09
DE1 8,H2 Electrolysis,0.0532381662555111
DE1 8,H2 Fuel Cell,7.785743971873383e-09
DE1 8,H2 turbine,5.0995647738315645e-08
DE1 8,photocatalysis,7.2367755954512835e-09
DE1 9,H2 Electrolysis,3.214475575138027e-08
DE1 9,H2 Fuel Cell,1.1313460998539038e-08
DE1 9,H2 turbine,4.259682263249874e-08
DE1 9,photocatalysis,7.820173031558737e-09
DK1 0,H2 Electrolysis,0.3444092999780901
DK1 0,H2 Fuel Cell,6.298555438997444e-09
DK1 0,H2 turbine,4.000614545021711e-08
DK1 0,photocatalysis,7.176862238616607e-09
DK2 0,H2 Electrolysis,0.08897089641322496
DK2 0,H2 Fuel Cell,6.602540539980899e-09
DK2 0,H2 turbine,3.905961708229113e-08
DK2 0,photocatalysis,7.872310690664824e-09
EE6 0,H2 Electrolysis,0.01549038117302106
EE6 0,H2 Fuel Cell,5.559050339950006e-09
EE6 0,H2 turbine,2.1235590481398643e-08
EE6 0,photocatalysis,6.485339934971961e-09
ES1 0,H2 Electrolysis,0.011149890848223742
ES1 0,H2 Fuel Cell,5.0091718420841e-09
ES1 0,H2 turbine,2.1106835058763932e-08
ES1 0,photocatalysis,0.4647976230629496
ES1 1,H2 Electrolysis,1.4280036094245095e-08
ES1 1,H2 Fuel Cell,4.8354672163111604e-09
ES1 1,H2 turbine,2.1227981773020407e-08
ES1 1,photocatalysis,0.47451546166737013
ES1 10,H2 Electrolysis,7.176169498360753e-08
ES1 10,H2 Fuel Cell,5.0375062981686486e-09
ES1 10,H2 turbine,2.1107116422397426e-08
ES1 10,photocatalysis,0.48934357948562346
ES1 2,H2 Electrolysis,2.686286951157727e-07
ES1 2,H2 Fuel Cell,5.206560071491013e-09
ES1 2,H2 turbine,2.1104024792819284e-08
ES1 2,photocatalysis,0.1860758882573776
ES1 3,H2 Electrolysis,0.005660072829330562
ES1 3,H2 Fuel Cell,5.15678807944371e-09
ES1 3,H2 turbine,2.1097628851502848e-08
ES1 3,photocatalysis,1.9912551598490555e-08
ES1 4,H2 Electrolysis,7.2430678791642e-08
ES1 4,H2 Fuel Cell,5.020901343592458e-09
ES1 4,H2 turbine,2.1190988893831144e-08
ES1 4,photocatalysis,0.6991869614463538
ES1 5,H2 Electrolysis,2.1283665951593817e-07
ES1 5,H2 Fuel Cell,5.022669460735378e-09
ES1 5,H2 turbine,2.1109643336665094e-08
ES1 5,photocatalysis,0.9308017404499251
ES1 6,H2 Electrolysis,2.3251378882847756e-07
ES1 6,H2 Fuel Cell,5.025822155083231e-09
ES1 6,H2 turbine,2.1106012071575427e-08
ES1 6,photocatalysis,0.29298329967251796
ES1 7,H2 Electrolysis,0.042808642941184645
ES1 7,H2 Fuel Cell,5.015469146132461e-09
ES1 7,H2 turbine,2.1099027526684704e-08
ES1 7,photocatalysis,2.5189947804774446e-08
ES1 8,H2 Electrolysis,6.17132587991783e-08
ES1 8,H2 Fuel Cell,5.004778419962779e-09
ES1 8,H2 turbine,2.1187308691247086e-08
ES1 8,photocatalysis,0.4150692745245424
ES1 9,H2 Electrolysis,0.00040976614558157164
ES1 9,H2 Fuel Cell,5.03682899502978e-09
ES1 9,H2 turbine,2.1106101556011723e-08
ES1 9,photocatalysis,2.80775220971435e-07
ES4 0,H2 Electrolysis,4.922267261715851e-08
ES4 0,H2 Fuel Cell,5.024044763770053e-09
ES4 0,H2 turbine,2.1253538769064214e-08
ES4 0,photocatalysis,0.04864288166658105
FI2 0,H2 Electrolysis,0.008762797159386751
FI2 0,H2 Fuel Cell,5.062555953371352e-09
FI2 0,H2 turbine,2.1072010768902722e-08
FI2 0,photocatalysis,4.012984685144922e-09
FI2 1,H2 Electrolysis,0.012534119784710708
FI2 1,H2 Fuel Cell,5.147602281361725e-09
FI2 1,H2 turbine,2.1074600642195423e-08
FI2 1,photocatalysis,5.92052219404982e-09
FI2 2,H2 Electrolysis,0.013038108893896599
FI2 2,H2 Fuel Cell,5.152248579950397e-09
FI2 2,H2 turbine,2.1074361670968103e-08
FI2 2,photocatalysis,5.519478915244505e-09
FI2 3,H2 Electrolysis,0.01830064700364093
FI2 3,H2 Fuel Cell,5.165853180179492e-09
FI2 3,H2 turbine,2.1073807643170816e-08
FI2 3,photocatalysis,5.744897979551964e-09
FR1 0,H2 Electrolysis,0.015445513314673802
FR1 0,H2 Fuel Cell,6.514080113656948e-09
FR1 0,H2 turbine,3.3544568103590675e-08
FR1 0,photocatalysis,9.397022379527024e-09
FR1 1,H2 Electrolysis,0.07330764790982428
FR1 1,H2 Fuel Cell,5.408902125488668e-09
FR1 1,H2 turbine,2.1662167209694655e-08
FR1 1,photocatalysis,0.18504439708270945
FR1 10,H2 Electrolysis,0.010517286243213127
FR1 10,H2 Fuel Cell,6.577156744554905e-09
FR1 10,H2 turbine,3.2746952454880674e-08
FR1 10,photocatalysis,8.629936081253925e-09
FR1 11,H2 Electrolysis,0.016778081913747515
FR1 11,H2 Fuel Cell,5.485472684973529e-09
FR1 11,H2 turbine,2.1682161429046927e-08
