bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,5.335724774038317e-08
AL1 0,H2 Fuel Cell,4.3506228360679625e-09
AL1 0,H2 turbine,1.5134878940284995e-08
AL1 0,photocatalysis,2.4148903682490175e-08
AT1 0,H2 Electrolysis,1.0515616327794661e-08
AT1 0,H2 Fuel Cell,4.482338827674619e-09
AT1 0,H2 turbine,1.5151232918515284e-08
AT1 0,photocatalysis,7.980931845769338e-09
AT1 1,H2 Electrolysis,2.319123329268659e-08
AT1 1,H2 Fuel Cell,4.181419644204708e-09
AT1 1,H2 turbine,1.507791962609521e-08
AT1 1,photocatalysis,7.94596655540617e-09
AT1 2,H2 Electrolysis,1.1219999306574716e-08
AT1 2,H2 Fuel Cell,4.453952787087432e-09
AT1 2,H2 turbine,1.5145498482426663e-08
AT1 2,photocatalysis,7.908310270034334e-09
BA1 0,H2 Electrolysis,1.8634005979661328e-08
BA1 0,H2 Fuel Cell,4.422930534404957e-09
BA1 0,H2 turbine,1.514475104546631e-08
BA1 0,photocatalysis,1.3585116897743444e-08
BE1 0,H2 Electrolysis,0.0046552096623118586
BE1 0,H2 Fuel Cell,4.080674348030047e-09
BE1 0,H2 turbine,1.5118874673814747e-08
BE1 0,photocatalysis,6.529163692466817e-09
BE1 1,H2 Electrolysis,5.496772312949165e-08
BE1 1,H2 Fuel Cell,4.131590876208544e-09
BE1 1,H2 turbine,1.5137957012904083e-08
BE1 1,photocatalysis,6.177158668032917e-09
BE1 2,H2 Electrolysis,3.37426347026806e-08
BE1 2,H2 Fuel Cell,4.086359104443563e-09
BE1 2,H2 turbine,1.506410209040715e-08
BE1 2,photocatalysis,6.426702738770801e-09
BE1 3,H2 Electrolysis,3.9311445138397666e-08
BE1 3,H2 Fuel Cell,4.102223915753447e-09
BE1 3,H2 turbine,1.508980729348284e-08
BE1 3,photocatalysis,6.438854562365823e-09
BG1 0,H2 Electrolysis,1.6796718392322755e-06
BG1 0,H2 Fuel Cell,4.371042093247871e-09
BG1 0,H2 turbine,1.661212420943942e-08
BG1 0,photocatalysis,3.427442119678743e-08
CH1 0,H2 Electrolysis,2.1468223863682577e-08
CH1 0,H2 Fuel Cell,4.285476219417883e-09
CH1 0,H2 turbine,1.5115731185344068e-08
CH1 0,photocatalysis,8.074572357441694e-09
CH1 1,H2 Electrolysis,1.8429908644404724e-08
CH1 1,H2 Fuel Cell,4.2524628968856874e-09
CH1 1,H2 turbine,1.5118330190746734e-08
CH1 1,photocatalysis,9.04517141139662e-09
CZ1 0,H2 Electrolysis,1.0895854253559693e-08
CZ1 0,H2 Fuel Cell,4.494639140798643e-09
CZ1 0,H2 turbine,1.5150568108009048e-08
CZ1 0,photocatalysis,6.260247920228498e-09
CZ1 1,H2 Electrolysis,1.2229803451316392e-08
CZ1 1,H2 Fuel Cell,4.458974487685415e-09
CZ1 1,H2 turbine,1.5139140119361973e-08
CZ1 1,photocatalysis,6.331210967188446e-09
CZ1 2,H2 Electrolysis,1.0044190417038625e-08
CZ1 2,H2 Fuel Cell,4.556600444235735e-09
CZ1 2,H2 turbine,1.5217406017549428e-08
CZ1 2,photocatalysis,6.008695443823217e-09
DE1 0,H2 Electrolysis,1.116300750580748e-08
DE1 0,H2 Fuel Cell,4.274379392844418e-09
DE1 0,H2 turbine,1.5127370042204475e-08
DE1 0,photocatalysis,6.615931333693342e-09
DE1 1,H2 Electrolysis,1.6128930131495485e-08
DE1 1,H2 Fuel Cell,4.2123844778611405e-09
DE1 1,H2 turbine,1.5105026041181895e-08
DE1 1,photocatalysis,5.9830887117210615e-09
DE1 10,H2 Electrolysis,1.241027976753406e-08
DE1 10,H2 Fuel Cell,4.342176102221124e-09
DE1 10,H2 turbine,1.537821647798894e-08
DE1 10,photocatalysis,6.178873483316128e-09
DE1 11,H2 Electrolysis,1.495443487384174e-08
DE1 11,H2 Fuel Cell,4.161434532106482e-09
DE1 11,H2 turbine,1.512619640788291e-08
DE1 11,photocatalysis,5.826326551463241e-09
DE1 12,H2 Electrolysis,0.07877382329184687
DE1 12,H2 Fuel Cell,4.193650168081168e-09
DE1 12,H2 turbine,1.5145945197392864e-08
DE1 12,photocatalysis,5.288783180225445e-09
DE1 13,H2 Electrolysis,1.2889360211437423e-08
DE1 13,H2 Fuel Cell,4.289678317565027e-09
DE1 13,H2 turbine,1.5116551663941817e-08
DE1 13,photocatalysis,7.137713219175742e-09
DE1 14,H2 Electrolysis,1.1161053206917718e-08
DE1 14,H2 Fuel Cell,4.29260558911027e-09
DE1 14,H2 turbine,1.513395268221016e-08
DE1 14,photocatalysis,6.9875015406377186e-09
DE1 15,H2 Electrolysis,1.1109076470427527e-08
DE1 15,H2 Fuel Cell,4.280943859720124e-09
DE1 15,H2 turbine,1.512897016384573e-08
DE1 15,photocatalysis,6.164489658895015e-09
DE1 16,H2 Electrolysis,1.351575061691152e-08
DE1 16,H2 Fuel Cell,4.123141314737794e-09
DE1 16,H2 turbine,1.509675669886367e-08
DE1 16,photocatalysis,6.544852404706143e-09
DE1 17,H2 Electrolysis,1.6944342401738055e-08
DE1 17,H2 Fuel Cell,4.301765618501451e-09
DE1 17,H2 turbine,1.5123032820456183e-08
DE1 17,photocatalysis,7.661507674818145e-09
