bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,6.605961366691755e-08
AL1 0,H2 Fuel Cell,4.770751676385116e-09
AL1 0,H2 turbine,1.743554306574224e-08
AL1 0,photocatalysis,1.5716424657912582e-08
AT1 0,H2 Electrolysis,1.8810373136015367e-08
AT1 0,H2 Fuel Cell,5.3870743837874455e-09
AT1 0,H2 turbine,1.9589438655344883e-08
AT1 0,photocatalysis,6.356036235958569e-09
AT1 1,H2 Electrolysis,5.840874335624093e-08
AT1 1,H2 Fuel Cell,5.0439928184497306e-09
AT1 1,H2 turbine,1.8705623934637083e-08
AT1 1,photocatalysis,6.016685687998925e-09
AT1 2,H2 Electrolysis,1.9931362810526927e-08
AT1 2,H2 Fuel Cell,5.385453662667278e-09
AT1 2,H2 turbine,1.955381874093986e-08
AT1 2,photocatalysis,6.18630305564977e-09
BA1 0,H2 Electrolysis,3.913003593534423e-08
BA1 0,H2 Fuel Cell,4.95864957338164e-09
BA1 0,H2 turbine,1.7449003426713944e-08
BA1 0,photocatalysis,9.38418627416522e-09
BE1 0,H2 Electrolysis,0.016188925655393493
BE1 0,H2 Fuel Cell,5.1312300665170964e-09
BE1 0,H2 turbine,2.4380650905832028e-08
BE1 0,photocatalysis,5.361336851582274e-09
BE1 1,H2 Electrolysis,0.019578556137203825
BE1 1,H2 Fuel Cell,5.2297289737706404e-09
BE1 1,H2 turbine,2.356886270582513e-08
BE1 1,photocatalysis,5.177028668802984e-09
BE1 2,H2 Electrolysis,1.634531213880556e-07
BE1 2,H2 Fuel Cell,5.38110474417713e-09
BE1 2,H2 turbine,2.9037035240306455e-08
BE1 2,photocatalysis,5.349563754691233e-09
BE1 3,H2 Electrolysis,0.004526178556758681
BE1 3,H2 Fuel Cell,5.294549644307228e-09
BE1 3,H2 turbine,2.5955553100279788e-08
BE1 3,photocatalysis,5.2832352371792206e-09
BG1 0,H2 Electrolysis,6.928581693884938e-07
BG1 0,H2 Fuel Cell,4.833235080132038e-09
BG1 0,H2 turbine,1.831658816340311e-08
BG1 0,photocatalysis,1.3508523019654598e-08
CH1 0,H2 Electrolysis,3.9039131195425094e-08
CH1 0,H2 Fuel Cell,4.951710752693085e-09
CH1 0,H2 turbine,1.7438184255552298e-08
CH1 0,photocatalysis,6.372335014016108e-09
CH1 1,H2 Electrolysis,2.7436356314173417e-08
CH1 1,H2 Fuel Cell,4.8726464225287196e-09
CH1 1,H2 turbine,1.742367622745199e-08
CH1 1,photocatalysis,6.903390169697598e-09
CZ1 0,H2 Electrolysis,1.7803862857238084e-08
CZ1 0,H2 Fuel Cell,5.754467347073003e-09
CZ1 0,H2 turbine,2.213044228098508e-08
CZ1 0,photocatalysis,5.387534007273514e-09
CZ1 1,H2 Electrolysis,2.1063120573186004e-08
CZ1 1,H2 Fuel Cell,5.632341091077269e-09
CZ1 1,H2 turbine,2.1680913073358158e-08
CZ1 1,photocatalysis,5.33392259013539e-09
CZ1 2,H2 Electrolysis,1.573650353874732e-08
CZ1 2,H2 Fuel Cell,5.889240107578977e-09
CZ1 2,H2 turbine,2.2430948806312398e-08
CZ1 2,photocatalysis,5.418154056937997e-09
DE1 0,H2 Electrolysis,2.1655819894343834e-08
DE1 0,H2 Fuel Cell,5.473816382346355e-09
DE1 0,H2 turbine,2.4053467468895053e-08
DE1 0,photocatalysis,5.570393877942796e-09
DE1 1,H2 Electrolysis,3.3157543051477946e-08
DE1 1,H2 Fuel Cell,5.353062130410749e-09
DE1 1,H2 turbine,2.3221515022598676e-08
DE1 1,photocatalysis,5.130648653566219e-09
DE1 10,H2 Electrolysis,2.0932422414138208e-08
DE1 10,H2 Fuel Cell,5.75932029104454e-09
DE1 10,H2 turbine,2.38224560138469e-08
DE1 10,photocatalysis,5.1869959105046395e-09
DE1 11,H2 Electrolysis,2.763098951137822e-08
DE1 11,H2 Fuel Cell,5.326613577959434e-09
DE1 11,H2 turbine,2.3753296151543968e-08
DE1 11,photocatalysis,4.975150026245604e-09
DE1 12,H2 Electrolysis,0.10564259210438474
DE1 12,H2 Fuel Cell,5.267432473478452e-09
DE1 12,H2 turbine,2.3191783120561535e-08
DE1 12,photocatalysis,4.849359168688158e-09
DE1 13,H2 Electrolysis,2.2912528750745974e-08
DE1 13,H2 Fuel Cell,5.378364537185924e-09
DE1 13,H2 turbine,2.212445929208575e-08
DE1 13,photocatalysis,5.880730267681094e-09
DE1 14,H2 Electrolysis,1.812265984291898e-08
DE1 14,H2 Fuel Cell,5.424522432195885e-09
DE1 14,H2 turbine,2.3082406649025792e-08
DE1 14,photocatalysis,5.845907609033787e-09
DE1 15,H2 Electrolysis,1.8640311026296694e-08
DE1 15,H2 Fuel Cell,5.456733254626644e-09
DE1 15,H2 turbine,2.3076812995494812e-08
DE1 15,photocatalysis,5.2109046912462045e-09
DE1 16,H2 Electrolysis,2.664253320164193e-08
DE1 16,H2 Fuel Cell,5.318681334679507e-09
DE1 16,H2 turbine,2.309897901161363e-08
DE1 16,photocatalysis,5.504344352717017e-09
DE1 17,H2 Electrolysis,4.9874748815537265e-08
DE1 17,H2 Fuel Cell,5.338209780154808e-09
DE1 17,H2 turbine,2.1087104439579413e-08
DE1 17,photocatalysis,6.050482633340442e-09
DE1 18,H2 Electrolysis,2.245856674755796e-08
DE1 18,H2 Fuel Cell,5.4505785068456135e-09
DE1 18,H2 turbine,2.2093489713705844e-08
DE1 18,photocatalysis,5.503216449978237e-09
DE1 19,H2 Electrolysis,2.797884708778999e-08
DE1 19,H2 Fuel Cell,5.466602195999949e-09
DE1 19,H2 turbine,2.3236185510811153e-08
DE1 19,photocatalysis,5.013032789077782e-09
DE1 2,H2 Electrolysis,2.2914147654062516e-08
DE1 2,H2 Fuel Cell,5.400580964997493e-09
DE1 2,H2 turbine,2.395554462936718e-08
DE1 2,photocatalysis,5.139313074932269e-09
DE1 20,H2 Electrolysis,2.4632247658441837e-08
DE1 20,H2 Fuel Cell,5.432688998434972e-09
DE1 20,H2 turbine,2.3977265440485295e-08
DE1 20,photocatalysis,5.0354994906147555e-09
DE1 21,H2 Electrolysis,0.00844113504720145
DE1 21,H2 Fuel Cell,5.1455601756411405e-09
DE1 21,H2 turbine,2.3118367034034125e-08
DE1 21,photocatalysis,5.06343722885255e-09
DE1 22,H2 Electrolysis,2.0888810132931966e-08
DE1 22,H2 Fuel Cell,5.3725979138757145e-09
DE1 22,H2 turbine,2.2768319773186476e-08
DE1 22,photocatalysis,5.642999532229367e-09
DE1 3,H2 Electrolysis,2.6313043939634268e-08
DE1 3,H2 Fuel Cell,5.4231310778237415e-09
DE1 3,H2 turbine,2.1359469827724014e-08
DE1 3,photocatalysis,5.851963855547958e-09
DE1 4,H2 Electrolysis,2.126490546268824e-08
DE1 4,H2 Fuel Cell,5.720867395075874e-09
DE1 4,H2 turbine,2.3441008558860805e-08
DE1 4,photocatalysis,5.141953880863364e-09
DE1 5,H2 Electrolysis,0.07093952098771746
DE1 5,H2 Fuel Cell,5.331059021972774e-09
DE1 5,H2 turbine,2.401936903779156e-08
DE1 5,photocatalysis,4.90306213405851e-09
DE1 6,H2 Electrolysis,1.949685771349186e-08
DE1 6,H2 Fuel Cell,4.856057280026186e-09
DE1 6,H2 turbine,1.7801716979037224e-08
DE1 6,photocatalysis,6.205559122101512e-09
DE1 7,H2 Electrolysis,2.640641395165441e-08
DE1 7,H2 Fuel Cell,5.57337173985941e-09
DE1 7,H2 turbine,2.3296526435385273e-08
DE1 7,photocatalysis,5.1897575332635224e-09
DE1 8,H2 Electrolysis,0.0576143322088482
DE1 8,H2 Fuel Cell,5.251491286120207e-09
DE1 8,H2 turbine,2.3833851451444237e-08
DE1 8,photocatalysis,4.9215382746332494e-09
DE1 9,H2 Electrolysis,2.8123827823127668e-08
DE1 9,H2 Fuel Cell,5.7238790006965266e-09
DE1 9,H2 turbine,2.3574700737472744e-08
DE1 9,photocatalysis,5.183601193997484e-09
DK1 0,H2 Electrolysis,0.4267392000818179
DK1 0,H2 Fuel Cell,4.973951565324949e-09
DK1 0,H2 turbine,2.3191130682246937e-08
DK1 0,photocatalysis,4.823726626170351e-09
DK2 0,H2 Electrolysis,0.09135849751472506
DK2 0,H2 Fuel Cell,5.058552435102955e-09
DK2 0,H2 turbine,2.3105003410898705e-08
DK2 0,photocatalysis,5.19038151616105e-09
EE6 0,H2 Electrolysis,0.015099192115673973
EE6 0,H2 Fuel Cell,4.697456258826492e-09
EE6 0,H2 turbine,1.8616197120752113e-08
EE6 0,photocatalysis,4.400491947992976e-09
ES1 0,H2 Electrolysis,0.04967778993555587
ES1 0,H2 Fuel Cell,4.4764906698418964e-09
ES1 0,H2 turbine,1.743811187515526e-08
ES1 0,photocatalysis,0.2788785729426573
ES1 1,H2 Electrolysis,1.7261714518940473e-08
ES1 1,H2 Fuel Cell,4.323354616826057e-09
ES1 1,H2 turbine,1.7438166384368117e-08
ES1 1,photocatalysis,0.00015139329779232608
ES1 10,H2 Electrolysis,0.010187103412300023
ES1 10,H2 Fuel Cell,4.500931634479871e-09
ES1 10,H2 turbine,1.7436330958918576e-08
ES1 10,photocatalysis,6.503999698274057e-08
ES1 2,H2 Electrolysis,0.015107052016044889
ES1 2,H2 Fuel Cell,4.531253572424772e-09
ES1 2,H2 turbine,1.7432118205092466e-08
ES1 2,photocatalysis,5.1328545871669026e-08
ES1 3,H2 Electrolysis,0.008141685828983834
ES1 3,H2 Fuel Cell,4.5177600600243255e-09
ES1 3,H2 turbine,1.743811095583541e-08
ES1 3,photocatalysis,9.14365301791213e-09
ES1 4,H2 Electrolysis,0.01510523516749216
ES1 4,H2 Fuel Cell,4.494749752035877e-09
ES1 4,H2 turbine,1.7473113601631793e-08
ES1 4,photocatalysis,0.4195121750214967
ES1 5,H2 Electrolysis,0.012480458128630068
ES1 5,H2 Fuel Cell,4.496966189276472e-09
ES1 5,H2 turbine,1.7440656599525447e-08
ES1 5,photocatalysis,0.5584807651398426
ES1 6,H2 Electrolysis,0.004525067145199796
ES1 6,H2 Fuel Cell,4.497136575224884e-09
ES1 6,H2 turbine,1.7435117926257426e-08
ES1 6,photocatalysis,0.1757899768036796
ES1 7,H2 Electrolysis,0.06189387936193874
ES1 7,H2 Fuel Cell,4.468923950917647e-09
ES1 7,H2 turbine,1.743739635689231e-08
ES1 7,photocatalysis,1.0912602195524283e-08
ES1 8,H2 Electrolysis,7.752963861127188e-05
ES1 8,H2 Fuel Cell,4.492327615300373e-09
ES1 8,H2 turbine,1.7470205405698986e-08
ES1 8,photocatalysis,0.24904156301141397
ES1 9,H2 Electrolysis,0.014339213499705373
ES1 9,H2 Fuel Cell,4.493959430194965e-09
ES1 9,H2 turbine,1.743510442782123e-08
ES1 9,photocatalysis,1.7068730860531855e-08
ES4 0,H2 Electrolysis,0.00029828256610914765
ES4 0,H2 Fuel Cell,4.542942791450676e-09
ES4 0,H2 turbine,1.8318517546444918e-08
ES4 0,photocatalysis,7.460605831708764e-08
FI2 0,H2 Electrolysis,0.009648765597746132
FI2 0,H2 Fuel Cell,4.521027883346964e-09
FI2 0,H2 turbine,1.743511897537447e-08
FI2 0,photocatalysis,2.9492100408484695e-09
FI2 1,H2 Electrolysis,0.030600201485009956
FI2 1,H2 Fuel Cell,4.553799741584561e-09
FI2 1,H2 turbine,1.743436501391126e-08
FI2 1,photocatalysis,4.115234721304938e-09
FI2 2,H2 Electrolysis,0.015070375737337638
FI2 2,H2 Fuel Cell,4.552129273726012e-09
FI2 2,H2 turbine,1.743391395439563e-08
FI2 2,photocatalysis,3.886450120563594e-09
FI2 3,H2 Electrolysis,0.038383434777535516
FI2 3,H2 Fuel Cell,4.546262506352047e-09
FI2 3,H2 turbine,1.743278213947361e-08
FI2 3,photocatalysis,4.0111744598246405e-09
FR1 0,H2 Electrolysis,0.028856739031945376
FR1 0,H2 Fuel Cell,4.9649023387322206e-09
FR1 0,H2 turbine,2.0053486565973857e-08
FR1 0,photocatalysis,5.977699852351683e-09
FR1 1,H2 Electrolysis,0.08834533621154711
FR1 1,H2 Fuel Cell,4.574367229486097e-09
FR1 1,H2 turbine,1.7437139173431793e-08
FR1 1,photocatalysis,2.7654786352688525e-08
FR1 10,H2 Electrolysis,0.012121103453843186
FR1 10,H2 Fuel Cell,4.973647782125202e-09
FR1 10,H2 turbine,1.995583948666754e-08
FR1 10,photocatalysis,5.655687567978267e-09
FR1 11,H2 Electrolysis,0.024976615333200374
FR1 11,H2 Fuel Cell,4.613149833235749e-09
