bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,7.288940944396225e-08
AL1 0,H2 Fuel Cell,4.401109350424267e-09
AL1 0,H2 turbine,1.5471646103539452e-08
AL1 0,photocatalysis,8.805505471434816e-09
AT1 0,H2 Electrolysis,2.4762748058656208e-08
AT1 0,H2 Fuel Cell,5.0605030766907735e-09
AT1 0,H2 turbine,1.777783540488487e-08
AT1 0,photocatalysis,4.864960185929257e-09
AT1 1,H2 Electrolysis,1.2680466886496894e-07
AT1 1,H2 Fuel Cell,4.796565141183945e-09
AT1 1,H2 turbine,1.716542188988101e-08
AT1 1,photocatalysis,4.596562604007123e-09
AT1 2,H2 Electrolysis,2.5417962638414596e-08
AT1 2,H2 Fuel Cell,5.072013941327055e-09
AT1 2,H2 turbine,1.7720889280484695e-08
AT1 2,photocatalysis,4.713931867261742e-09
BA1 0,H2 Electrolysis,4.6733425886862096e-08
BA1 0,H2 Fuel Cell,4.6188918383914715e-09
BA1 0,H2 turbine,1.550122319954388e-08
BA1 0,photocatalysis,6.395729982165796e-09
BE1 0,H2 Electrolysis,0.018049856866961773
BE1 0,H2 Fuel Cell,4.745809782371149e-09
BE1 0,H2 turbine,2.315188141146387e-08
BE1 0,photocatalysis,4.2214770314419615e-09
BE1 1,H2 Electrolysis,0.021133258235080908
BE1 1,H2 Fuel Cell,4.877119166876067e-09
BE1 1,H2 turbine,2.238320577913711e-08
BE1 1,photocatalysis,4.09832714298098e-09
BE1 2,H2 Electrolysis,3.3345456041316195e-07
BE1 2,H2 Fuel Cell,5.010479875285473e-09
BE1 2,H2 turbine,2.8862758371364427e-08
BE1 2,photocatalysis,4.209868880954105e-09
BE1 3,H2 Electrolysis,0.005402574541178182
BE1 3,H2 Fuel Cell,4.942530122849389e-09
BE1 3,H2 turbine,2.5089137207466246e-08
BE1 3,photocatalysis,4.1611348805373095e-09
BG1 0,H2 Electrolysis,0.0014524923780521806
BG1 0,H2 Fuel Cell,4.446985536389237e-09
BG1 0,H2 turbine,1.6557767030611434e-08
BG1 0,photocatalysis,8.072427761595564e-09
CH1 0,H2 Electrolysis,4.8537415106916234e-08
CH1 0,H2 Fuel Cell,4.6724535418574345e-09
CH1 0,H2 turbine,1.5566801531377337e-08
CH1 0,photocatalysis,4.857874168759097e-09
CH1 1,H2 Electrolysis,2.9571668117255547e-08
CH1 1,H2 Fuel Cell,4.5922910776684975e-09
CH1 1,H2 turbine,1.55261052018835e-08
CH1 1,photocatalysis,5.163338266006995e-09
CZ1 0,H2 Electrolysis,1.975052482301899e-08
CZ1 0,H2 Fuel Cell,5.550630957720199e-09
CZ1 0,H2 turbine,2.072497049859739e-08
CZ1 0,photocatalysis,4.2444502067408555e-09
CZ1 1,H2 Electrolysis,2.574868993239534e-08
CZ1 1,H2 Fuel Cell,5.437967845071227e-09
CZ1 1,H2 turbine,2.0442589745042035e-08
CZ1 1,photocatalysis,4.185961985482836e-09
CZ1 2,H2 Electrolysis,1.6563826175455063e-08
CZ1 2,H2 Fuel Cell,5.709798445494609e-09
CZ1 2,H2 turbine,2.108084860144206e-08
CZ1 2,photocatalysis,4.284531517416579e-09
DE1 0,H2 Electrolysis,2.1962740557643373e-08
DE1 0,H2 Fuel Cell,5.233090382433879e-09
DE1 0,H2 turbine,2.2952011284151138e-08
DE1 0,photocatalysis,4.361768255110312e-09
DE1 1,H2 Electrolysis,3.875377475398686e-08
DE1 1,H2 Fuel Cell,5.085249588308087e-09
DE1 1,H2 turbine,2.1954983377243227e-08
DE1 1,photocatalysis,4.074907030499353e-09
DE1 10,H2 Electrolysis,2.1487814741901124e-08
DE1 10,H2 Fuel Cell,5.48227815094043e-09
DE1 10,H2 turbine,2.3480215658262687e-08
DE1 10,photocatalysis,4.1116537260991046e-09
DE1 11,H2 Electrolysis,2.7219101852472893e-08
DE1 11,H2 Fuel Cell,4.998154165591759e-09
DE1 11,H2 turbine,2.2743823301268614e-08
DE1 11,photocatalysis,3.968763160691458e-09
DE1 12,H2 Electrolysis,0.12095385385911488
DE1 12,H2 Fuel Cell,4.966431863086176e-09
DE1 12,H2 turbine,2.2155787108834123e-08
DE1 12,photocatalysis,3.901373221424952e-09
DE1 13,H2 Electrolysis,2.4999730051505508e-08
DE1 13,H2 Fuel Cell,5.104192674623461e-09
DE1 13,H2 turbine,2.0669282623812292e-08
DE1 13,photocatalysis,4.560001007604994e-09
DE1 14,H2 Electrolysis,1.825222060596877e-08
DE1 14,H2 Fuel Cell,5.164876174563061e-09
DE1 14,H2 turbine,2.13698610650915e-08
DE1 14,photocatalysis,4.5431384752582404e-09
DE1 15,H2 Electrolysis,1.7289439340181218e-08
DE1 15,H2 Fuel Cell,5.173807505033723e-09
DE1 15,H2 turbine,2.1699312823822274e-08
DE1 15,photocatalysis,4.125315995324298e-09
DE1 16,H2 Electrolysis,2.6056205506944426e-08
DE1 16,H2 Fuel Cell,4.984067956101339e-09
DE1 16,H2 turbine,2.1750061858123218e-08
DE1 16,photocatalysis,4.321774903823986e-09
DE1 17,H2 Electrolysis,1.2213770363425172e-07
DE1 17,H2 Fuel Cell,5.0461629940782736e-09
DE1 17,H2 turbine,1.9420750568808232e-08
DE1 17,photocatalysis,4.666775756097442e-09
DE1 18,H2 Electrolysis,2.21440908876971e-08
DE1 18,H2 Fuel Cell,5.1682546195843055e-09
DE1 18,H2 turbine,2.0554696658777684e-08
DE1 18,photocatalysis,4.313212056948635e-09
DE1 19,H2 Electrolysis,3.382408676090499e-08
DE1 19,H2 Fuel Cell,5.208463661920608e-09
DE1 19,H2 turbine,2.2093774027275708e-08
DE1 19,photocatalysis,3.996672587197639e-09
DE1 2,H2 Electrolysis,2.0147191648533853e-08
DE1 2,H2 Fuel Cell,5.1829829651153984e-09
DE1 2,H2 turbine,2.3004708970401443e-08
DE1 2,photocatalysis,4.074701856668545e-09
DE1 20,H2 Electrolysis,2.241631540774175e-08
DE1 20,H2 Fuel Cell,5.172257685412357e-09
DE1 20,H2 turbine,2.2956010507957076e-08
DE1 20,photocatalysis,4.004835221474593e-09
DE1 21,H2 Electrolysis,0.011969529642654542
DE1 21,H2 Fuel Cell,4.7882499610205015e-09
DE1 21,H2 turbine,2.180402428269857e-08
DE1 21,photocatalysis,4.052144399097811e-09
DE1 22,H2 Electrolysis,2.2767103155382365e-08
DE1 22,H2 Fuel Cell,5.071783164402319e-09
DE1 22,H2 turbine,2.1257587686407054e-08
DE1 22,photocatalysis,4.418618844701815e-09
DE1 3,H2 Electrolysis,3.4492454654503306e-08
DE1 3,H2 Fuel Cell,5.121671600968378e-09
DE1 3,H2 turbine,1.972659163629714e-08
DE1 3,photocatalysis,4.53953321779991e-09
DE1 4,H2 Electrolysis,2.248816895087743e-08
DE1 4,H2 Fuel Cell,5.472504647007811e-09
DE1 4,H2 turbine,2.2671301213755628e-08
DE1 4,photocatalysis,4.08813242674235e-09
DE1 5,H2 Electrolysis,0.09632735436413423
DE1 5,H2 Fuel Cell,5.0162540159256835e-09
DE1 5,H2 turbine,2.327666105176335e-08
DE1 5,photocatalysis,3.932204902336792e-09
DE1 6,H2 Electrolysis,1.9747208574769193e-08
DE1 6,H2 Fuel Cell,4.550351571859268e-09
DE1 6,H2 turbine,1.5919984774555085e-08
DE1 6,photocatalysis,4.759788833949278e-09
DE1 7,H2 Electrolysis,3.729302340364932e-08
DE1 7,H2 Fuel Cell,5.372359684905844e-09
DE1 7,H2 turbine,2.219581342886686e-08
DE1 7,photocatalysis,4.1263729393239345e-09
DE1 8,H2 Electrolysis,0.07067687199906875
DE1 8,H2 Fuel Cell,4.900205917019223e-09
DE1 8,H2 turbine,2.286665810133595e-08
DE1 8,photocatalysis,3.9380974165372155e-09
DE1 9,H2 Electrolysis,3.225778345299513e-08
DE1 9,H2 Fuel Cell,5.51468934051878e-09
DE1 9,H2 turbine,2.290112527002264e-08
DE1 9,photocatalysis,4.125415366822801e-09
DK1 0,H2 Electrolysis,0.5454112196225895
DK1 0,H2 Fuel Cell,4.582853135775148e-09
DK1 0,H2 turbine,2.117139756038478e-08
DK1 0,photocatalysis,3.916863717225356e-09
DK2 0,H2 Electrolysis,0.0971505972765719
DK2 0,H2 Fuel Cell,4.698491026401354e-09
DK2 0,H2 turbine,2.1556272984457537e-08
DK2 0,photocatalysis,4.1337497353817834e-09
EE6 0,H2 Electrolysis,0.01753800184505086
EE6 0,H2 Fuel Cell,4.377390975642069e-09
EE6 0,H2 turbine,1.6682505339874874e-08
EE6 0,photocatalysis,3.562294517741454e-09
ES1 0,H2 Electrolysis,0.0832638197948767
ES1 0,H2 Fuel Cell,4.08872035613227e-09
ES1 0,H2 turbine,1.547617327323013e-08
ES1 0,photocatalysis,0.13943928180431006
ES1 1,H2 Electrolysis,1.9157690365663927e-08
ES1 1,H2 Fuel Cell,3.9323581787454834e-09
ES1 1,H2 turbine,1.5486606202178445e-08
ES1 1,photocatalysis,2.3843551949423707e-08
ES1 10,H2 Electrolysis,0.01164634765088836
ES1 10,H2 Fuel Cell,4.1097385978194984e-09
ES1 10,H2 turbine,1.547569758094609e-08
ES1 10,photocatalysis,1.6791783204855768e-08
ES1 2,H2 Electrolysis,0.022659079293435597
ES1 2,H2 Fuel Cell,4.139155482817749e-09
ES1 2,H2 turbine,1.5468659274285532e-08
ES1 2,photocatalysis,1.5502932924454255e-08
ES1 3,H2 Electrolysis,0.0083466870829157
ES1 3,H2 Fuel Cell,4.130033909936756e-09
ES1 3,H2 turbine,1.547662608333176e-08
ES1 3,photocatalysis,6.4339781313951814e-09
ES1 4,H2 Electrolysis,0.041564593206857826
ES1 4,H2 Fuel Cell,4.104997587331347e-09
ES1 4,H2 turbine,1.5481880097064477e-08
ES1 4,photocatalysis,0.03976548975105544
ES1 5,H2 Electrolysis,0.041150625205377454
ES1 5,H2 Fuel Cell,4.1200252622660814e-09
ES1 5,H2 turbine,1.5470981902545317e-08
ES1 5,photocatalysis,2.535758781922887e-08
ES1 6,H2 Electrolysis,0.01692891674554577
ES1 6,H2 Fuel Cell,4.118066908932934e-09
ES1 6,H2 turbine,1.5467856047953044e-08
ES1 6,photocatalysis,3.499088844132285e-08
ES1 7,H2 Electrolysis,0.06982077890276309
ES1 7,H2 Fuel Cell,4.075041320438243e-09
ES1 7,H2 turbine,1.547788932912427e-08
ES1 7,photocatalysis,7.452851607345769e-09
ES1 8,H2 Electrolysis,0.018493215392913438
ES1 8,H2 Fuel Cell,4.101970730388704e-09
ES1 8,H2 turbine,1.5478708064803297e-08
ES1 8,photocatalysis,0.024720655611337485
ES1 9,H2 Electrolysis,0.015210469271583907
ES1 9,H2 Fuel Cell,4.109785494382944e-09
ES1 9,H2 turbine,1.546870740888901e-08
ES1 9,photocatalysis,9.866266497043836e-09
ES4 0,H2 Electrolysis,0.0008682047094344265
ES4 0,H2 Fuel Cell,4.29431581583471e-09
ES4 0,H2 turbine,1.657185085701446e-08
ES4 0,photocatalysis,1.596943640042522e-08
FI2 0,H2 Electrolysis,0.010923072892306259
FI2 0,H2 Fuel Cell,4.123924132937577e-09
FI2 0,H2 turbine,1.5482616857036443e-08
FI2 0,photocatalysis,2.4491696675916485e-09
FI2 1,H2 Electrolysis,0.03299355185123457
FI2 1,H2 Fuel Cell,4.180326396965461e-09
FI2 1,H2 turbine,1.5481426705034413e-08
FI2 1,photocatalysis,3.347617090338089e-09
FI2 2,H2 Electrolysis,0.017610622686994936
FI2 2,H2 Fuel Cell,4.183208140617202e-09
FI2 2,H2 turbine,1.5478886375999767e-08
FI2 2,photocatalysis,3.1765975940246603e-09
FI2 3,H2 Electrolysis,0.0470806586491092
FI2 3,H2 Fuel Cell,4.1708008901513775e-09
FI2 3,H2 turbine,1.5473511807682824e-08
FI2 3,photocatalysis,3.2704831481937575e-09
FR1 0,H2 Electrolysis,0.04544360144024852
FR1 0,H2 Fuel Cell,4.601683728275626e-09
FR1 0,H2 turbine,1.8203244067604045e-08
FR1 0,photocatalysis,4.6649108584330125e-09
FR1 1,H2 Electrolysis,0.1039628998808701
FR1 1,H2 Fuel Cell,4.18094554523962e-09
FR1 1,H2 turbine,1.5488582053682394e-08
FR1 1,photocatalysis,1.2892013518880498e-08
FR1 10,H2 Electrolysis,0.013090490254214382
