bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,4.740337465820744e-08
AL1 0,H2 Fuel Cell,4.235928212860341e-09
AL1 0,H2 turbine,1.610015438542507e-08
AL1 0,photocatalysis,1.0066193199586943e-08
AT1 0,H2 Electrolysis,2.0359975185737484e-08
AT1 0,H2 Fuel Cell,4.849256767260954e-09
AT1 0,H2 turbine,1.8257932509978118e-08
AT1 0,photocatalysis,4.776020921848095e-09
AT1 1,H2 Electrolysis,6.39542700084597e-08
AT1 1,H2 Fuel Cell,4.558105775882414e-09
AT1 1,H2 turbine,1.753316294057519e-08
AT1 1,photocatalysis,4.658119818925615e-09
AT1 2,H2 Electrolysis,2.10446572880075e-08
AT1 2,H2 Fuel Cell,4.869976214693705e-09
AT1 2,H2 turbine,1.8211949921373192e-08
AT1 2,photocatalysis,4.709688072794447e-09
BA1 0,H2 Electrolysis,3.9154540707440364e-08
BA1 0,H2 Fuel Cell,4.432735524369698e-09
BA1 0,H2 turbine,1.6115746671104984e-08
BA1 0,photocatalysis,6.1731361194002206e-09
BE1 0,H2 Electrolysis,0.017086806688742878
BE1 0,H2 Fuel Cell,4.605165159245805e-09
BE1 0,H2 turbine,2.3022812751869232e-08
BE1 0,photocatalysis,4.208625988190081e-09
BE1 1,H2 Electrolysis,0.021002832707923767
BE1 1,H2 Fuel Cell,4.704908267751067e-09
BE1 1,H2 turbine,2.2293084706539874e-08
BE1 1,photocatalysis,4.082078398358194e-09
BE1 2,H2 Electrolysis,1.832207784305994e-07
BE1 2,H2 Fuel Cell,4.903187653072355e-09
BE1 2,H2 turbine,2.7813982377484876e-08
BE1 2,photocatalysis,4.2072337007991095e-09
BE1 3,H2 Electrolysis,0.004848611663810011
BE1 3,H2 Fuel Cell,4.7892729567458755e-09
BE1 3,H2 turbine,2.4581576552851763e-08
BE1 3,photocatalysis,4.155066684648843e-09
BG1 0,H2 Electrolysis,5.299507808500342e-07
BG1 0,H2 Fuel Cell,4.227840366970513e-09
BG1 0,H2 turbine,1.684187958672234e-08
BG1 0,photocatalysis,9.035114859836948e-09
CH1 0,H2 Electrolysis,3.4879205478115794e-08
CH1 0,H2 Fuel Cell,4.446513505542352e-09
CH1 0,H2 turbine,1.614154721892314e-08
CH1 0,photocatalysis,4.843215614174273e-09
CH1 1,H2 Electrolysis,2.356633949595362e-08
CH1 1,H2 Fuel Cell,4.385521996766756e-09
CH1 1,H2 turbine,1.611403767826924e-08
CH1 1,photocatalysis,5.2669066079116055e-09
CZ1 0,H2 Electrolysis,1.73055887135424e-08
CZ1 0,H2 Fuel Cell,5.302304749719949e-09
CZ1 0,H2 turbine,2.095080704526206e-08
CZ1 0,photocatalysis,4.214850467310103e-09
CZ1 1,H2 Electrolysis,2.1711993979050127e-08
CZ1 1,H2 Fuel Cell,5.1391240611375465e-09
CZ1 1,H2 turbine,2.04077434286645e-08
CZ1 1,photocatalysis,4.1838950534239306e-09
CZ1 2,H2 Electrolysis,1.4746408120167753e-08
CZ1 2,H2 Fuel Cell,5.418306546222939e-09
CZ1 2,H2 turbine,2.1200317481411192e-08
CZ1 2,photocatalysis,4.2747355289405295e-09
DE1 0,H2 Electrolysis,1.9233475747931787e-08
DE1 0,H2 Fuel Cell,4.896521821438014e-09
DE1 0,H2 turbine,2.267641283482918e-08
DE1 0,photocatalysis,4.367307934910783e-09
DE1 1,H2 Electrolysis,2.9890720091858655e-08
DE1 1,H2 Fuel Cell,4.8065478771473376e-09
DE1 1,H2 turbine,2.184831039350851e-08
DE1 1,photocatalysis,4.05494428608191e-09
DE1 10,H2 Electrolysis,1.8273790025938847e-08
DE1 10,H2 Fuel Cell,5.204659440407242e-09
DE1 10,H2 turbine,2.296740694077811e-08
DE1 10,photocatalysis,4.0937762255674975e-09
DE1 11,H2 Electrolysis,2.3818293890340626e-08
DE1 11,H2 Fuel Cell,4.778721281918969e-09
DE1 11,H2 turbine,2.2517701996596977e-08
DE1 11,photocatalysis,3.939120328331898e-09
DE1 12,H2 Electrolysis,0.11553792628271913
DE1 12,H2 Fuel Cell,4.773278220186979e-09
DE1 12,H2 turbine,2.1944829285821028e-08
DE1 12,photocatalysis,3.838444414143069e-09
DE1 13,H2 Electrolysis,2.057421467997957e-08
DE1 13,H2 Fuel Cell,4.831545317186247e-09
DE1 13,H2 turbine,2.0845378828012168e-08
DE1 13,photocatalysis,4.570694875291786e-09
DE1 14,H2 Electrolysis,1.6158194130023585e-08
DE1 14,H2 Fuel Cell,4.854599956806644e-09
DE1 14,H2 turbine,2.1507328008462528e-08
DE1 14,photocatalysis,4.562776065705136e-09
DE1 15,H2 Electrolysis,1.5901040768344222e-08
DE1 15,H2 Fuel Cell,4.900137311554776e-09
DE1 15,H2 turbine,2.175798045463042e-08
DE1 15,photocatalysis,4.109488021731468e-09
DE1 16,H2 Electrolysis,2.2216720991029905e-08
DE1 16,H2 Fuel Cell,4.785765770813178e-09
DE1 16,H2 turbine,2.1759123536662175e-08
DE1 16,photocatalysis,4.322238093317641e-09
DE1 17,H2 Electrolysis,6.362041235725573e-08
DE1 17,H2 Fuel Cell,4.8042861925464564e-09
DE1 17,H2 turbine,1.9694562903209196e-08
DE1 17,photocatalysis,4.701160186779748e-09
DE1 18,H2 Electrolysis,2.0961660124390193e-08
DE1 18,H2 Fuel Cell,4.890874874877981e-09
DE1 18,H2 turbine,2.0688302538893723e-08
DE1 18,photocatalysis,4.316639393366409e-09
DE1 19,H2 Electrolysis,2.963963962707538e-08
DE1 19,H2 Fuel Cell,4.9313208915078406e-09
DE1 19,H2 turbine,2.1964357613061197e-08
DE1 19,photocatalysis,3.963191195272863e-09
DE1 2,H2 Electrolysis,1.9376332931466393e-08
DE1 2,H2 Fuel Cell,4.840294819064924e-09
DE1 2,H2 turbine,2.2821334859083063e-08
DE1 2,photocatalysis,4.053714955028352e-09
DE1 20,H2 Electrolysis,2.0976745847246874e-08
DE1 20,H2 Fuel Cell,4.864035200522825e-09
DE1 20,H2 turbine,2.279307565240994e-08
DE1 20,photocatalysis,3.980747853777769e-09
DE1 21,H2 Electrolysis,0.010672371276349384
DE1 21,H2 Fuel Cell,4.600881978221084e-09
DE1 21,H2 turbine,2.1759839190403834e-08
DE1 21,photocatalysis,4.011540212601736e-09
DE1 22,H2 Electrolysis,2.0386399591261177e-08
DE1 22,H2 Fuel Cell,4.790571081606609e-09
DE1 22,H2 turbine,2.1320292671050178e-08
DE1 22,photocatalysis,4.424888667456112e-09
DE1 3,H2 Electrolysis,2.7175014082742034e-08
DE1 3,H2 Fuel Cell,4.847855568581498e-09
DE1 3,H2 turbine,1.9973304645299028e-08
DE1 3,photocatalysis,4.550151077809423e-09
DE1 4,H2 Electrolysis,1.9205163921746466e-08
DE1 4,H2 Fuel Cell,5.199692282081358e-09
DE1 4,H2 turbine,2.236901770432845e-08
DE1 4,photocatalysis,4.063578358467839e-09
DE1 5,H2 Electrolysis,0.08581369028779547
DE1 5,H2 Fuel Cell,4.815284862196105e-09
DE1 5,H2 turbine,2.290215398030722e-08
DE1 5,photocatalysis,3.887765712668374e-09
DE1 6,H2 Electrolysis,1.7195858857731127e-08
DE1 6,H2 Fuel Cell,4.3630918969758685e-09
DE1 6,H2 turbine,1.6499771486242395e-08
DE1 6,photocatalysis,4.814946068179106e-09
DE1 7,H2 Electrolysis,2.953698973583412e-08
DE1 7,H2 Fuel Cell,5.050007714926692e-09
DE1 7,H2 turbine,2.2083712525291686e-08
DE1 7,photocatalysis,4.095878297117049e-09
DE1 8,H2 Electrolysis,0.06567865274278062
DE1 8,H2 Fuel Cell,4.7155101096650595e-09
DE1 8,H2 turbine,2.2669746737938246e-08
DE1 8,photocatalysis,3.904325118103314e-09
DE1 9,H2 Electrolysis,2.5613094858557816e-08
DE1 9,H2 Fuel Cell,5.182223620574563e-09
DE1 9,H2 turbine,2.251120554058123e-08
DE1 9,photocatalysis,4.094981867664913e-09
DK1 0,H2 Electrolysis,0.49543417453692834
DK1 0,H2 Fuel Cell,4.467765194277968e-09
DK1 0,H2 turbine,2.1835723573269194e-08
DK1 0,photocatalysis,3.7989312563206875e-09
DK2 0,H2 Electrolysis,0.09307874687681368
DK2 0,H2 Fuel Cell,4.570186150055163e-09
DK2 0,H2 turbine,2.18977644009757e-08
DK2 0,photocatalysis,4.105833228356972e-09
EE6 0,H2 Electrolysis,0.016593708777297635
EE6 0,H2 Fuel Cell,4.204212158088e-09
EE6 0,H2 turbine,1.706423791075506e-08
EE6 0,photocatalysis,3.5064620391817077e-09
ES1 0,H2 Electrolysis,0.053335660287140645
ES1 0,H2 Fuel Cell,3.974502594736705e-09
ES1 0,H2 turbine,1.609964954796105e-08
ES1 0,photocatalysis,0.4647976212642598
ES1 1,H2 Electrolysis,1.7902689878358203e-08
ES1 1,H2 Fuel Cell,3.828491408306464e-09
ES1 1,H2 turbine,1.609734187734523e-08
ES1 1,photocatalysis,5.854320991527385e-08
ES1 10,H2 Electrolysis,0.01215639157875972
