bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,2.4148805639909116e-08
AL1 0,H2 Fuel Cell,4.6020886248813436e-09
AL1 0,H2 turbine,1.6004329169669677e-08
AL1 0,photocatalysis,0.07907783081808266
AT1 0,H2 Electrolysis,1.8509485983025013e-08
AT1 0,H2 Fuel Cell,5.015848625265536e-09
AT1 0,H2 turbine,1.7500455901263984e-08
AT1 0,photocatalysis,1.3108899784313801e-08
AT1 1,H2 Electrolysis,5.982509694480265e-08
AT1 1,H2 Fuel Cell,4.792233358637999e-09
AT1 1,H2 turbine,1.6883737671846863e-08
AT1 1,photocatalysis,1.0985393345852105e-08
AT1 2,H2 Electrolysis,2.0033070340712482e-08
AT1 2,H2 Fuel Cell,5.0385768833570024e-09
AT1 2,H2 turbine,1.7494303048684623e-08
AT1 2,photocatalysis,1.2130977909483643e-08
BA1 0,H2 Electrolysis,2.6696189039476063e-08
BA1 0,H2 Fuel Cell,4.7484436079264695e-09
BA1 0,H2 turbine,1.5999694690909147e-08
BA1 0,photocatalysis,4.3466220857709656e-08
BE1 0,H2 Electrolysis,0.015522379636478456
BE1 0,H2 Fuel Cell,4.813733237150811e-09
BE1 0,H2 turbine,2.144693559826596e-08
BE1 0,photocatalysis,8.836665608954688e-09
BE1 1,H2 Electrolysis,0.01921804595241688
BE1 1,H2 Fuel Cell,4.928168426798546e-09
BE1 1,H2 turbine,2.081113144440784e-08
BE1 1,photocatalysis,8.251861714612561e-09
BE1 2,H2 Electrolysis,1.7051757523799983e-07
BE1 2,H2 Fuel Cell,5.086281227897021e-09
BE1 2,H2 turbine,2.5527034791296242e-08
BE1 2,photocatalysis,8.77102618195864e-09
BE1 3,H2 Electrolysis,0.003990088470060147
BE1 3,H2 Fuel Cell,4.990836290675322e-09
BE1 3,H2 turbine,2.29176780832107e-08
BE1 3,photocatalysis,8.610161579361987e-09
BG1 0,H2 Electrolysis,4.3300790183431375e-08
BG1 0,H2 Fuel Cell,4.663318987292458e-09
BG1 0,H2 turbine,1.6942993097770127e-08
BG1 0,photocatalysis,0.019633293283228853
CH1 0,H2 Electrolysis,3.847816737032123e-08
CH1 0,H2 Fuel Cell,4.629122488432893e-09
CH1 0,H2 turbine,1.598824602975251e-08
CH1 0,photocatalysis,1.245986102719371e-08
CH1 1,H2 Electrolysis,2.6929371365220852e-08
CH1 1,H2 Fuel Cell,4.5834296455221835e-09
CH1 1,H2 turbine,1.5985099862697408e-08
CH1 1,photocatalysis,1.4970652493364578e-08
CZ1 0,H2 Electrolysis,1.5027966866747252e-08
CZ1 0,H2 Fuel Cell,5.3333244467090956e-09
CZ1 0,H2 turbine,1.979981960021751e-08
CZ1 0,photocatalysis,8.917615689858447e-09
CZ1 1,H2 Electrolysis,1.871537038277776e-08
CZ1 1,H2 Fuel Cell,5.246114236929115e-09
CZ1 1,H2 turbine,1.9465487075583958e-08
CZ1 1,photocatalysis,8.873949313022583e-09
CZ1 2,H2 Electrolysis,1.388350414188764e-08
CZ1 2,H2 Fuel Cell,5.414809877619565e-09
CZ1 2,H2 turbine,2.007146720433962e-08
CZ1 2,photocatalysis,9.040982278503759e-09
DE1 0,H2 Electrolysis,2.0349155684691108e-08
DE1 0,H2 Fuel Cell,5.0823458939786494e-09
DE1 0,H2 turbine,2.148654128526554e-08
DE1 0,photocatalysis,9.422141268080257e-09
DE1 1,H2 Electrolysis,3.0241916187088846e-08
DE1 1,H2 Fuel Cell,5.069329913598558e-09
DE1 1,H2 turbine,2.0719480737254307e-08
DE1 1,photocatalysis,8.013339536730645e-09
DE1 10,H2 Electrolysis,1.9841985434899384e-08
DE1 10,H2 Fuel Cell,5.37500192890873e-09
DE1 10,H2 turbine,2.0846407245570714e-08
DE1 10,photocatalysis,8.149168904887287e-09
DE1 11,H2 Electrolysis,2.69104609850615e-08
DE1 11,H2 Fuel Cell,5.013319519163478e-09
DE1 11,H2 turbine,2.1158433612564095e-08
DE1 11,photocatalysis,7.68042358565806e-09
