bus0,carrier,p_nom_opt
DE1 19,H2 turbine,2.6575034734323513e-08
DE1 19,photocatalysis,4.712564961519833e-09
DE1 2,H2 Electrolysis,2.439578793692487e-08
DE1 2,H2 Fuel Cell,5.773336694428772e-09
DE1 2,H2 turbine,2.7672680198206255e-08
DE1 2,photocatalysis,4.829869935983493e-09
DE1 20,H2 Electrolysis,2.7133072049900983e-08
DE1 20,H2 Fuel Cell,5.816864394771978e-09
DE1 20,H2 turbine,2.7617234602201952e-08
DE1 20,photocatalysis,4.745363912285268e-09
DE1 21,H2 Electrolysis,0.011155338641697881
DE1 21,H2 Fuel Cell,5.476490122425298e-09
DE1 21,H2 turbine,2.637600819559873e-08
DE1 21,photocatalysis,4.766711115829284e-09
DE1 22,H2 Electrolysis,2.3720138358596194e-08
DE1 22,H2 Fuel Cell,5.7732706294499005e-09
DE1 22,H2 turbine,2.576879391445727e-08
DE1 22,photocatalysis,5.2794330998149675e-09
DE1 3,H2 Electrolysis,3.3279566587578826e-08
DE1 3,H2 Fuel Cell,5.789491780701481e-09
DE1 3,H2 turbine,2.414256844035031e-08
DE1 3,photocatalysis,5.421251902403476e-09
DE1 4,H2 Electrolysis,2.5733674567132097e-08
DE1 4,H2 Fuel Cell,6.253885879759211e-09
DE1 4,H2 turbine,2.71377251192807e-08
DE1 4,photocatalysis,4.844255509364006e-09
DE1 5,H2 Electrolysis,0.08878643447482613
DE1 5,H2 Fuel Cell,5.7317770327944296e-09
DE1 5,H2 turbine,2.7831927466527964e-08
DE1 5,photocatalysis,4.63675792107169e-09
DE1 6,H2 Electrolysis,2.1860838469382875e-08
DE1 6,H2 Fuel Cell,5.227436620916109e-09
DE1 6,H2 turbine,1.963084234025924e-08
DE1 6,photocatalysis,5.756769574295865e-09
DE1 7,H2 Electrolysis,4.032123404656832e-08
DE1 7,H2 Fuel Cell,6.067073898988942e-09
DE1 7,H2 turbine,2.673505089542514e-08
DE1 7,photocatalysis,4.8716808359750664e-09
DE1 8,H2 Electrolysis,0.06658260331662315
DE1 8,H2 Fuel Cell,5.599504907896609e-09
DE1 8,H2 turbine,2.748220200104692e-08
DE1 8,photocatalysis,4.653214074565724e-09
DE1 9,H2 Electrolysis,3.616089287501943e-08
DE1 9,H2 Fuel Cell,6.243595932154022e-09
DE1 9,H2 turbine,2.7320979884097898e-08
DE1 9,photocatalysis,4.878443430847913e-09
DK1 0,H2 Electrolysis,0.5049148109291863
DK1 0,H2 Fuel Cell,5.283156334859357e-09
DK1 0,H2 turbine,2.607115299346104e-08
DK1 0,photocatalysis,4.62293720708885e-09
DK2 0,H2 Electrolysis,0.09434456387526065
DK2 0,H2 Fuel Cell,5.416862638624858e-09
DK2 0,H2 turbine,2.6478491135242645e-08
DK2 0,photocatalysis,4.8994405495960765e-09
EE6 0,H2 Electrolysis,0.016694994997391042
EE6 0,H2 Fuel Cell,4.987927584262735e-09
