bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,6.896348849135921e-08
AL1 0,H2 Fuel Cell,4.6099684057064455e-09
AL1 0,H2 turbine,1.6457614664459466e-08
AL1 0,photocatalysis,1.2904754387995688e-08
AT1 0,H2 Electrolysis,2.656058328713926e-08
AT1 0,H2 Fuel Cell,5.274666794999521e-09
AT1 0,H2 turbine,1.8893598194212708e-08
AT1 0,photocatalysis,6.106524670622649e-09
AT1 1,H2 Electrolysis,1.0577830273515757e-07
AT1 1,H2 Fuel Cell,5.086355609977554e-09
AT1 1,H2 turbine,1.8194842183612997e-08
AT1 1,photocatalysis,5.726224062714937e-09
AT1 2,H2 Electrolysis,2.6961988344771718e-08
AT1 2,H2 Fuel Cell,5.305351039189648e-09
AT1 2,H2 turbine,1.885010842626752e-08
AT1 2,photocatalysis,5.902759078068363e-09
BA1 0,H2 Electrolysis,4.166513724023398e-08
BA1 0,H2 Fuel Cell,4.817941306742625e-09
BA1 0,H2 turbine,1.6474702902407436e-08
BA1 0,photocatalysis,8.49879184105173e-09
BE1 0,H2 Electrolysis,0.017696276119895805
BE1 0,H2 Fuel Cell,5.077729358265737e-09
BE1 0,H2 turbine,2.4204759057576287e-08
BE1 0,photocatalysis,5.178311108419713e-09
BE1 1,H2 Electrolysis,0.020923923311017337
BE1 1,H2 Fuel Cell,5.221719537339685e-09
BE1 1,H2 turbine,2.3364397182914466e-08
BE1 1,photocatalysis,5.01403268584853e-09
BE1 2,H2 Electrolysis,2.868770318907056e-07
BE1 2,H2 Fuel Cell,5.492843905816334e-09
BE1 2,H2 turbine,2.9748182357996726e-08
BE1 2,photocatalysis,5.169045122463129e-09
BE1 3,H2 Electrolysis,0.005066053304258751
BE1 3,H2 Fuel Cell,5.339501109847581e-09
BE1 3,H2 turbine,2.6132969945956095e-08
BE1 3,photocatalysis,5.103102020022413e-09
BG1 0,H2 Electrolysis,1.0268169690563319e-05
BG1 0,H2 Fuel Cell,4.7039241842895275e-09
BG1 0,H2 turbine,1.7260602933014673e-08
BG1 0,photocatalysis,1.1529758350087631e-08
CH1 0,H2 Electrolysis,5.3070336922287145e-08
CH1 0,H2 Fuel Cell,4.902891067961199e-09
CH1 0,H2 turbine,1.65265367493507e-08
CH1 0,photocatalysis,6.0868380784263875e-09
CH1 1,H2 Electrolysis,3.392444499084598e-08
CH1 1,H2 Fuel Cell,4.848604843321434e-09
