bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,5.011913207918508e-08
AL1 0,H2 Fuel Cell,4.80449179032917e-09
AL1 0,H2 turbine,1.700795652484877e-08
AL1 0,photocatalysis,1.9807038065681663e-08
AT1 0,H2 Electrolysis,2.023860744742854e-08
AT1 0,H2 Fuel Cell,5.2529456433407395e-09
AT1 0,H2 turbine,1.8560589056539848e-08
AT1 0,photocatalysis,7.051065833939653e-09
AT1 1,H2 Electrolysis,5.088208670921708e-08
AT1 1,H2 Fuel Cell,5.062712359886407e-09
AT1 1,H2 turbine,1.80640634311614e-08
AT1 1,photocatalysis,6.646846724036116e-09
AT1 2,H2 Electrolysis,2.075962841343355e-08
AT1 2,H2 Fuel Cell,5.290707067389841e-09
AT1 2,H2 turbine,1.862536411894071e-08
AT1 2,photocatalysis,6.854288620643954e-09
BA1 0,H2 Electrolysis,3.6704316499697813e-08
BA1 0,H2 Fuel Cell,4.9265079503661585e-09
BA1 0,H2 turbine,1.7008575974141177e-08
BA1 0,photocatalysis,1.0989106375797796e-08
BE1 0,H2 Electrolysis,0.013753045772218541
BE1 0,H2 Fuel Cell,5.1045398349662e-09
BE1 0,H2 turbine,2.378229055759819e-08
BE1 0,photocatalysis,5.840504180009779e-09
BE1 1,H2 Electrolysis,0.013478904954690757
BE1 1,H2 Fuel Cell,5.2142241648872524e-09
BE1 1,H2 turbine,2.2936704612446677e-08
BE1 1,photocatalysis,5.614686830827865e-09
BE1 2,H2 Electrolysis,2.0486071973442133e-07
BE1 2,H2 Fuel Cell,5.438596652832129e-09
BE1 2,H2 turbine,2.869151841747328e-08
BE1 2,photocatalysis,5.82155100164409e-09
BE1 3,H2 Electrolysis,0.0016213578035003135
BE1 3,H2 Fuel Cell,5.334985074650475e-09
BE1 3,H2 turbine,2.5702209194910845e-08
BE1 3,photocatalysis,5.7566433081820565e-09
BG1 0,H2 Electrolysis,1.2875669167647845e-07
BG1 0,H2 Fuel Cell,4.7921146986364715e-09
BG1 0,H2 turbine,1.7966305934783024e-08
BG1 0,photocatalysis,1.6250566029564704e-08
CH1 0,H2 Electrolysis,3.714592654845353e-08
CH1 0,H2 Fuel Cell,4.897953179478289e-09
CH1 0,H2 turbine,1.7034406155973324e-08
CH1 0,photocatalysis,7.03787999769854e-09
CH1 1,H2 Electrolysis,2.668965573440487e-08
CH1 1,H2 Fuel Cell,4.853909036611161e-09
CH1 1,H2 turbine,1.7003302692823284e-08
CH1 1,photocatalysis,7.666847970441602e-09
CZ1 0,H2 Electrolysis,1.83013052855844e-08
CZ1 0,H2 Fuel Cell,5.627039165559614e-09
CZ1 0,H2 turbine,2.1437963969330692e-08
CZ1 0,photocatalysis,5.854575251410456e-09
CZ1 1,H2 Electrolysis,2.0699291774227086e-08
CZ1 1,H2 Fuel Cell,5.530914980394805e-09
CZ1 1,H2 turbine,2.1095712582034292e-08
CZ1 1,photocatalysis,5.832242713882131e-09
CZ1 2,H2 Electrolysis,1.6847460376181863e-08
CZ1 2,H2 Fuel Cell,5.696991918930855e-09
CZ1 2,H2 turbine,2.1725621181763315e-08
CZ1 2,photocatalysis,5.800716990776892e-09
DE1 0,H2 Electrolysis,2.034417004271837e-08
DE1 0,H2 Fuel Cell,5.412169146123018e-09
DE1 0,H2 turbine,2.3396912417202243e-08
DE1 0,photocatalysis,6.065381093921396e-09
DE1 1,H2 Electrolysis,3.0144549672106696e-08
DE1 1,H2 Fuel Cell,5.356929324043306e-09
DE1 1,H2 turbine,2.2379584298623506e-08
DE1 1,photocatalysis,5.559170015165694e-09
DE1 10,H2 Electrolysis,2.0745157631413708e-08
DE1 10,H2 Fuel Cell,5.6502916671403615e-09
DE1 10,H2 turbine,2.261377052127105e-08
DE1 10,photocatalysis,5.639119953791479e-09
DE1 11,H2 Electrolysis,2.5303602694903985e-08
DE1 11,H2 Fuel Cell,5.299260655467736e-09
DE1 11,H2 turbine,2.2957908535999236e-08
DE1 11,photocatalysis,5.391654178433386e-09
DE1 12,H2 Electrolysis,0.0982748068586583
DE1 12,H2 Fuel Cell,5.132105917521168e-09
DE1 12,H2 turbine,2.228299950947108e-08
DE1 12,photocatalysis,5.2449390133194595e-09
DE1 13,H2 Electrolysis,2.1772555059473515e-08
DE1 13,H2 Fuel Cell,5.2915655023574846e-09
DE1 13,H2 turbine,2.1210291223893403e-08
DE1 13,photocatalysis,6.41209589165636e-09
DE1 14,H2 Electrolysis,1.7389640356306725e-08
DE1 14,H2 Fuel Cell,5.333625927355041e-09
DE1 14,H2 turbine,2.215287337129937e-08
DE1 14,photocatalysis,6.3642002568968525e-09
DE1 15,H2 Electrolysis,1.7896217824547773e-08
DE1 15,H2 Fuel Cell,5.417279039568988e-09
DE1 15,H2 turbine,2.2130926926384447e-08
DE1 15,photocatalysis,5.658657585281227e-09
DE1 16,H2 Electrolysis,2.625676225671022e-08
DE1 16,H2 Fuel Cell,5.336712306323496e-09
DE1 16,H2 turbine,2.249361046409046e-08
DE1 16,photocatalysis,5.973569247819195e-09
DE1 17,H2 Electrolysis,4.168793979639313e-08
DE1 17,H2 Fuel Cell,5.261780750893656e-09
DE1 17,H2 turbine,2.0194834246791384e-08
DE1 17,photocatalysis,6.641891456405961e-09
DE1 18,H2 Electrolysis,2.1657978376336643e-08
DE1 18,H2 Fuel Cell,5.375486724034104e-09
DE1 18,H2 turbine,2.1395206514819274e-08
DE1 18,photocatalysis,5.99247448271894e-09
DE1 19,H2 Electrolysis,3.210231935825018e-08
DE1 19,H2 Fuel Cell,5.339634764798545e-09
DE1 19,H2 turbine,2.2369493678606942e-08
DE1 19,photocatalysis,5.4207863854249005e-09
DE1 2,H2 Electrolysis,2.1658820764100935e-08
