bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,2.0837398203793104e-08
AL1 0,H2 Fuel Cell,4.3557550389688425e-09
AL1 0,H2 turbine,1.4718557035401153e-08
AL1 0,photocatalysis,0.0514221812082547
AT1 0,H2 Electrolysis,1.688948842314741e-08
AT1 0,H2 Fuel Cell,4.7312467168676424e-09
AT1 0,H2 turbine,1.595197111316553e-08
AT1 0,photocatalysis,1.0217500239229488e-08
AT1 1,H2 Electrolysis,4.609772892260973e-08
AT1 1,H2 Fuel Cell,4.524641929344465e-09
AT1 1,H2 turbine,1.543015453154532e-08
AT1 1,photocatalysis,9.210337049185426e-09
AT1 2,H2 Electrolysis,1.831810552807411e-08
AT1 2,H2 Fuel Cell,4.7389540584859596e-09
AT1 2,H2 turbine,1.5960777110337802e-08
AT1 2,photocatalysis,9.501117355046861e-09
BA1 0,H2 Electrolysis,2.2046724318543624e-08
BA1 0,H2 Fuel Cell,4.46998146171299e-09
BA1 0,H2 turbine,1.4712152509765175e-08
BA1 0,photocatalysis,2.322051516285413e-08
BE1 0,H2 Electrolysis,0.013041771205988721
BE1 0,H2 Fuel Cell,4.568487868647408e-09
BE1 0,H2 turbine,2.0528286062240112e-08
BE1 0,photocatalysis,7.623016439458188e-09
BE1 1,H2 Electrolysis,0.008789489281016987
BE1 1,H2 Fuel Cell,4.681332016077415e-09
BE1 1,H2 turbine,1.990139899688346e-08
BE1 1,photocatalysis,7.173151909815627e-09
BE1 2,H2 Electrolysis,1.374524638050528e-07
BE1 2,H2 Fuel Cell,4.895829692925142e-09
BE1 2,H2 turbine,2.477866569660409e-08
BE1 2,photocatalysis,7.569771467725675e-09
BE1 3,H2 Electrolysis,2.868289654749748e-07
BE1 3,H2 Fuel Cell,4.795425346853045e-09
BE1 3,H2 turbine,2.2243818503554445e-08
BE1 3,photocatalysis,7.472311933690136e-09
BG1 0,H2 Electrolysis,5.5448238784680706e-08
BG1 0,H2 Fuel Cell,4.391390039568466e-09
BG1 0,H2 turbine,1.5599131624135478e-08
BG1 0,photocatalysis,2.523536772263639e-07
CH1 0,H2 Electrolysis,3.408982227252733e-08
CH1 0,H2 Fuel Cell,4.388482412502279e-09
CH1 0,H2 turbine,1.4722716646959819e-08
CH1 0,photocatalysis,9.767422661877282e-09
CH1 1,H2 Electrolysis,2.337029911691566e-08
CH1 1,H2 Fuel Cell,4.34108684538913e-09
CH1 1,H2 turbine,1.4690439907206615e-08
CH1 1,photocatalysis,1.1626887393879923e-08
CZ1 0,H2 Electrolysis,1.3713412928766487e-08
CZ1 0,H2 Fuel Cell,5.006162188751825e-09
CZ1 0,H2 turbine,1.8349746782193886e-08
CZ1 0,photocatalysis,7.436687855929488e-09
