bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,7.762159969885586e-08
AL1 0,H2 Fuel Cell,5.912296017219845e-09
AL1 0,H2 turbine,2.370555970705117e-08
AL1 0,photocatalysis,2.2580597983184434e-08
AT1 0,H2 Electrolysis,2.115659443473425e-08
AT1 0,H2 Fuel Cell,6.232612683087117e-09
AT1 0,H2 turbine,2.376404139777739e-08
AT1 0,photocatalysis,6.878342544866325e-09
AT1 1,H2 Electrolysis,5.289535948304243e-08
AT1 1,H2 Fuel Cell,5.718006903542111e-09
AT1 1,H2 turbine,2.3631452847970997e-08
AT1 1,photocatalysis,8.337755447564761e-09
AT1 2,H2 Electrolysis,2.3665521760778594e-08
AT1 2,H2 Fuel Cell,6.132575336240847e-09
AT1 2,H2 turbine,2.3729416917209876e-08
AT1 2,photocatalysis,7.695343617892996e-09
BA1 0,H2 Electrolysis,3.110513805805886e-08
BA1 0,H2 Fuel Cell,6.029964281027543e-09
BA1 0,H2 turbine,2.374406169057515e-08
BA1 0,photocatalysis,1.2406666997789292e-08
BE1 0,H2 Electrolysis,0.011572729173885207
BE1 0,H2 Fuel Cell,5.555868031215187e-09
BE1 0,H2 turbine,2.367627247234565e-08
BE1 0,photocatalysis,7.23971295395245e-09
BE1 1,H2 Electrolysis,0.0010744926304565791
BE1 1,H2 Fuel Cell,5.632763816696342e-09
BE1 1,H2 turbine,2.36906102549702e-08
BE1 1,photocatalysis,6.952668172520032e-09
BE1 2,H2 Electrolysis,1.1305095933102555e-07
BE1 2,H2 Fuel Cell,5.654281789612741e-09
BE1 2,H2 turbine,2.3607516894684787e-08
BE1 2,photocatalysis,7.1885318514554495e-09
BE1 3,H2 Electrolysis,1.4114589912486477e-07
BE1 3,H2 Fuel Cell,5.647760139200432e-09
BE1 3,H2 turbine,2.363488437265785e-08
BE1 3,photocatalysis,7.157753510609285e-09
BG1 0,H2 Electrolysis,5.105303948623804e-07
BG1 0,H2 Fuel Cell,5.99243637692097e-09
BG1 0,H2 turbine,2.404276735933462e-08
BG1 0,photocatalysis,3.106507622026488e-08
CH1 0,H2 Electrolysis,5.221239975858652e-08
CH1 0,H2 Fuel Cell,5.8386412484666495e-09
CH1 0,H2 turbine,2.367099027281547e-08
CH1 0,photocatalysis,7.622454489405525e-09
CH1 1,H2 Electrolysis,3.6396886644057756e-08
CH1 1,H2 Fuel Cell,5.771811932282617e-09
CH1 1,H2 turbine,2.3674010202523878e-08
CH1 1,photocatalysis,9.358560889020572e-09
CZ1 0,H2 Electrolysis,1.9132210660687224e-08
CZ1 0,H2 Fuel Cell,6.248785496441013e-09
CZ1 0,H2 turbine,2.3759004714243975e-08
CZ1 0,photocatalysis,6.402697008461435e-09
CZ1 1,H2 Electrolysis,2.5057441497376528e-08
CZ1 1,H2 Fuel Cell,6.224208539689917e-09
CZ1 1,H2 turbine,2.373972959934376e-08
CZ1 1,photocatalysis,6.839520422095855e-09
CZ1 2,H2 Electrolysis,1.630130914113706e-08
CZ1 2,H2 Fuel Cell,6.378174746903149e-09
CZ1 2,H2 turbine,2.3798928760538943e-08
CZ1 2,photocatalysis,6.745198372944028e-09
DE1 0,H2 Electrolysis,2.092970142614706e-08
DE1 0,H2 Fuel Cell,5.84449553870553e-09
DE1 0,H2 turbine,2.3674667350051015e-08
DE1 0,photocatalysis,7.3708877522255436e-09
DE1 1,H2 Electrolysis,3.0832754268320976e-08
DE1 1,H2 Fuel Cell,5.807533399493076e-09
DE1 1,H2 turbine,2.3653537645574475e-08
DE1 1,photocatalysis,6.745124646213359e-09
DE1 10,H2 Electrolysis,2.250937010237465e-08
DE1 10,H2 Fuel Cell,6.028901999564784e-09
DE1 10,H2 turbine,2.4001868029730135e-08
DE1 10,photocatalysis,6.801344613887425e-09
DE1 11,H2 Electrolysis,2.8570852050319912e-08
DE1 11,H2 Fuel Cell,5.688976231240956e-09
DE1 11,H2 turbine,2.3682770602489953e-08
DE1 11,photocatalysis,6.574920266814547e-09
DE1 12,H2 Electrolysis,0.08885214850579115
DE1 12,H2 Fuel Cell,5.771257514121371e-09
DE1 12,H2 turbine,2.3734336457777346e-08
DE1 12,photocatalysis,5.893215637641999e-09
DE1 13,H2 Electrolysis,2.306882262609861e-08
DE1 13,H2 Fuel Cell,5.8644385497461155e-09
DE1 13,H2 turbine,2.3675019172042164e-08
DE1 13,photocatalysis,7.455268826399875e-09
DE1 14,H2 Electrolysis,1.923782982895432e-08
DE1 14,H2 Fuel Cell,5.888332667600175e-09
DE1 14,H2 turbine,2.3688516215354533e-08
DE1 14,photocatalysis,7.677501274154926e-09
