bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,8.882737632604623e-08
AL1 0,H2 Fuel Cell,4.596913861932843e-09
AL1 0,H2 turbine,1.57884333695617e-08
AL1 0,photocatalysis,1.0725696753955685e-08
AT1 0,H2 Electrolysis,3.435756741507409e-08
AT1 0,H2 Fuel Cell,5.298038070983391e-09
AT1 0,H2 turbine,1.8057321682139532e-08
AT1 0,photocatalysis,5.802661341872059e-09
AT1 1,H2 Electrolysis,1.445034219487972e-07
AT1 1,H2 Fuel Cell,5.0862243692962695e-09
AT1 1,H2 turbine,1.7452771541895096e-08
AT1 1,photocatalysis,5.714548189386123e-09
AT1 2,H2 Electrolysis,3.343922007935069e-08
AT1 2,H2 Fuel Cell,5.3335703822556155e-09
AT1 2,H2 turbine,1.8030245675986034e-08
AT1 2,photocatalysis,5.730987317661786e-09
BA1 0,H2 Electrolysis,6.20039565160728e-08
BA1 0,H2 Fuel Cell,4.82328870784299e-09
BA1 0,H2 turbine,1.5810678697620198e-08
BA1 0,photocatalysis,7.823201443814676e-09
BE1 0,H2 Electrolysis,0.017848157487194562
BE1 0,H2 Fuel Cell,5.02363145310484e-09
BE1 0,H2 turbine,2.336756770865934e-08
BE1 0,photocatalysis,5.230690869364009e-09
BE1 1,H2 Electrolysis,0.020802672839587144
BE1 1,H2 Fuel Cell,5.170350726017914e-09
BE1 1,H2 turbine,2.2650599693363783e-08
BE1 1,photocatalysis,5.085696575111576e-09
BE1 2,H2 Electrolysis,3.916987179907641e-07
BE1 2,H2 Fuel Cell,5.498118691932447e-09
BE1 2,H2 turbine,2.893092822497464e-08
BE1 2,photocatalysis,5.224491269974152e-09
BE1 3,H2 Electrolysis,0.005171518573235445
BE1 3,H2 Fuel Cell,5.326928342430033e-09
BE1 3,H2 turbine,2.5238973739588846e-08
BE1 3,photocatalysis,5.1655525454744454e-09
BG1 0,H2 Electrolysis,0.0007076847286062272
BG1 0,H2 Fuel Cell,4.680524844044421e-09
BG1 0,H2 turbine,1.6628467174114096e-08
BG1 0,photocatalysis,9.900114783470936e-09
CH1 0,H2 Electrolysis,6.465828127368701e-08
CH1 0,H2 Fuel Cell,4.9280360542832176e-09
CH1 0,H2 turbine,1.586565271611434e-08
CH1 0,photocatalysis,5.876844569722314e-09
CH1 1,H2 Electrolysis,3.975202371478948e-08
CH1 1,H2 Fuel Cell,4.8573527738956366e-09
CH1 1,H2 turbine,1.583851693838694e-08
CH1 1,photocatalysis,6.386393224491899e-09
CZ1 0,H2 Electrolysis,2.6605906169557388e-08
CZ1 0,H2 Fuel Cell,5.8167920404543125e-09
