Bus,x,y
AL1 0,19.897913657380467,41.58756832883463
AT1 0,15.759789571428572,47.89867592857143
AT1 1,10.293250400824324,47.24882743131611
AT1 2,13.580649722486982,47.41309503644294
BA1 0,18.122703744298455,43.81136666515542
BE1 0,3.38123741382603,51.148626462209144
BE1 1,5.579567908393334,50.443317239015464
BE1 2,4.427692934503346,50.627921957582736
BE1 3,4.464019800000001,51.1947076
BG1 0,24.673671018558693,42.76527120231763
CH1 0,8.726335773685557,46.91494535358979
CH1 1,7.281104649122807,46.682603876261936
CZ1 0,15.7520447669358,49.96705304081244
CZ1 1,17.6785837289938,49.56645371888573
CZ1 2,13.855812198661617,49.881104286959015
DE1 0,8.436464088132283,50.11206081266652
DE1 1,9.759980531874431,51.23354045872907
DE1 10,12.7262878,51.0520558
DE1 11,8.796915675981301,51.700552644280585
DE1 12,9.807421527609483,53.81662781379046
DE1 13,9.58210271964909,48.43372312132999
DE1 14,8.522676787641611,49.19504388269902
DE1 15,11.627311625,50.63419775
DE1 16,6.797436298486645,49.69714814903889
DE1 17,12.659683333333334,48.5836045
DE1 18,11.237953216557933,49.7154266100543
DE1 19,10.408757532919916,52.27040794743048
DE1 2,6.810865521105565,51.16967605395055
DE1 20,7.728546411108956,51.43817066754495
DE1 21,12.699260080522341,53.85921420148872
DE1 22,9.762554125000001,49.820571625
DE1 3,11.399736085399406,48.35883243095018
DE1 4,14.213409444444444,51.476404555555554
DE1 5,8.575924283679221,52.93254639973302
DE1 6,8.085825908642184,47.80069385379009
DE1 7,11.633736714285714,51.859710428571425
DE1 8,7.441695699980141,52.66605864021967
DE1 9,13.453937842532339,52.626160109507715
DK1 0,9.780571804546701,55.95401091656313
DK2 0,12.2839744286048,55.50990254373552
EE6 0,25.879151796111493,58.97990628084797
ES1 0,-1.0418821108344754,38.16149511193063
ES1 1,-5.922597749078522,40.37911253184675
ES1 10,-0.14539970814950967,41.5000682043789
ES1 2,1.7854507498663763,41.671968737921254
ES1 3,-2.6680655304419894,42.71163748908975
ES1 4,-4.3323216960848745,37.305508087017486
ES1 5,-3.606717215847418,40.145173498203235
ES1 6,-0.758053367523414,39.536175008101495
ES1 7,-7.746339183555849,42.63272442991005
ES1 8,-6.117465552431256,37.24035431019162
ES1 9,-4.963452407348613,42.25853206017986
ES4 0,2.7388915999999996,39.6729018
FI2 0,25.9040451,65.4699127
FI2 1,24.658617285714286,60.822383571428574
FI2 2,26.972961444444444,61.414830111111115
FI2 3,22.440074545454546,61.879056363636366
FR1 0,2.3137893500000004,48.88372095
FR1 1,4.929368927000387,43.772546137179866
FR1 10,4.524961206292432,49.38078229004304
FR1 11,6.269254813193455,43.77072298180215
FR1 12,3.3231926249999986,46.1651233125
FR1 13,5.533126799999998,45.16757525
FR1 14,1.0255918821221117,47.041824940701375
FR1 15,-3.3708284999999996,48.27880225
FR1 16,3.2958650590295897,50.12801890656564
FR1 17,4.989087449556154,46.13770665698621
FR1 18,3.490498394590636,47.98666863315793
FR1 19,3.205895987789753,43.66227933504974
FR1 2,6.462449937500001,45.6588495
FR1 20,7.0986811625385755,48.02632462435081
FR1 21,-0.8083663658038143,43.56355397867621
FR1 3,-0.3516931125996741,45.34506439192009
FR1 4,2.5399639186771217,45.183603924055504
FR1 5,5.9866781305322725,48.81152659270333
FR1 6,0.3575100349668712,49.14042068056771
FR1 7,2.2271535826743074,50.548061095773335
FR1 8,1.2824248333333328,43.573254444444444
FR1 9,-1.4201925104196658,47.45881692526521
GB0 0,0.32844696526288597,52.68288492869832
GB0 1,-2.8835060644305597,51.39535522782521
GB0 10,0.6143457647058811,51.407174
GB0 11,-3.8125728461538477,51.876303769230766
GB0 12,-1.466086214285714,54.431200607142856
GB0 13,-2.8220790520452743,57.7750235841341
GB0 14,-1.9883705853488511,52.44542636776672
GB0 2,-3.4566588878060713,55.82130510728511
GB0 3,-2.616027900000002,53.499509933333336
GB0 4,-0.2667964634926618,51.61379621553545
GB0 5,-1.25854698176679,53.146913318397
GB0 6,-4.2083132,50.565590400000005
GB0 7,-1.2986339090909114,51.16261018181819
GB0 8,-4.499728752599162,56.159231778064395
GB0 9,-0.46130898826857497,53.67704936509132
GB5 0,-6.097540942585512,54.668778749066895
GR1 0,23.234492963069822,38.098959672900534
GR1 1,22.099483150276168,40.01063761896285
HR1 0,16.1575535,45.20687242857143
HU1 0,18.879135167852805,47.216547475067166
IE5 0,-7.631337824605365,52.799813936222904
IT1 0,13.310165499999998,37.847106833333335
IT1 1,9.230556359507956,45.29415845141039
IT1 10,13.576105363636362,42.604392454545454
IT1 11,15.067249727272726,37.608393909090914
IT1 12,10.669609989550901,43.70621223163436
IT1 13,11.20226815633249,45.11758765094389
IT1 2,12.203674222222222,44.27112277777778
IT1 3,14.454193055555557,41.166062
IT1 4,16.386795,39.166542125
IT1 5,10.540695285714287,46.02167428571429
IT1 6,12.849557095238094,45.90608157142857
IT1 7,17.06463909090909,40.63484909090909
IT1 8,12.355585,42.0258570625
IT1 9,7.804870668635753,45.153095876777606
IT3 0,8.745975499999998,39.9681955
LT6 0,23.007282074232347,55.161558581596694
LU1 0,6.1305106908682685,49.6773404049915
LV6 0,23.72468008838514,56.83880232035496
ME1 0,19.1445008,42.8066642
MK1 0,21.587448166666665,41.58136233333333
NL1 0,4.798278750000008,52.40258325
NL1 1,6.767382000000003,53.274437285714285
NL1 2,4.41787711111111,51.849931222222224
NL1 3,5.618408400000002,51.5418668
NL1 4,6.036834777777775,52.64840188888889
NO2 0,10.48063394117647,59.86741
