name,nearshore,offshore,onshore
AL1 0,6.213234397769686e-07,0.0,30.188020493465128
BA1 0,,,438.01018773899364
DE1 0,,,0.6288011560711612
DE1 1,,,145.9558959983359
DE1 11,,,36.63517859594965
DE1 12,914.5576632598223,3390.2272139737656,147.28380552487593
DE1 15,,,98.24237762793722
DE1 19,,,255.85524409319902
DE1 2,,,64.35632571965523
DE1 20,,,9.617023584019208
DE1 21,250.72853695210247,412.94000735628424,239.19718267525562
DE1 22,,,35.09593158429218
DE1 4,,,68.13174461313108
DE1 5,325.7002539536967,572.6052103093189,182.3119347104942
DE1 6,,,0.024068615099683256
DE1 7,,,228.8207216149952
DE1 8,24.5359480414727,4899.620951759298,118.5567944996197
DE1 9,52.733718443887675,24.102215853982244,217.22495987238483
DK1 0,205.42742277707197,2059.6444278519116,0.0
DK2 0,2.880327518629248,163.03926062894098,
ES1 0,132.80484755817986,0.0,43.92384022671896
ES1 10,,,244.32667507288798
ES1 2,,,118.2835038817622
ES1 3,6.45488255546262,,64.86543955342165
ES1 4,,,1.0142128545219424
ES1 5,,,46.41060085406332
ES1 6,49.9692697871347,,1.027341162287291
ES1 9,2.844742166867312,,40.04190973893314
FR1 1,,,46.75073880050224
FR1 11,,,10.683416496063193
FR1 13,,,67.87861061097024
FR1 17,,,92.60194835507913
FR1 20,,,42.23786367412442
GB0 0,,1683.380785633896,0.0
GB0 1,90.51604941141649,196.5490243897354,0.0
GB0 12,1.5894633149690938,,0.0
GB0 14,,,0.0
GB0 3,21.613566685611357,,0.0
GB0 7,18.26606955333692,17.643172775866226,
GB0 8,,3.121023779179308,
GB0 9,208.6758905580055,849.5883411285699,0.0
GB5 0,101.81039970267474,164.14894958005766,0.0
GR1 1,67.83676677463062,16.163343337156043,0.0
NL1 0,,1479.5837715072876,
NL1 1,28.246396801021117,144.2613909859764,22.964489300335373
NL1 2,,46.29077327456212,
NL1 3,,,19.896987578911375
NL1 4,20.292695728362858,1936.9070498970866,66.47925870211348
NO2 3,,2307.2709849390576,
PL1 0,20.49459000627359,0.0,1158.3385969746716
PL1 1,,,96.27952950581663
PL1 2,,,827.7784374494638
PL1 3,,,190.20474593721607
PL1 4,,,213.1053142202908
PL1 5,19.947354157950382,0.0,236.1670040370136
PT1 0,4.510660707116655,28.994677841446702,
PT1 1,226.44624537343793,1721.4125808021236,
RO1 0,,,508.3734908453339
RO1 1,,,33.4048996301847
