Bus,h2_generation_Electrolysis_MWh,h2_generation_Photocatalysis_MWh,h2_generation_SMR_MWh,h2_generation_SMR_CC_MWh,h2_generation_total_MWh,total_h2_demand_MWh
AL1 0,23.520297426025614,2.1620589565956614,1.0006739769399102,1.8634538146906743,28.546484174251862,20057.48121596098
AT1 0,7.979562705693198,0.6406062929919085,0.914061066549941,1.5998079495900015,11.134038014825048,5510093.480569872
AT1 1,26.242836415800546,0.5622130773577957,0.8768456011589613,1.523745869092549,29.205640963409856,459.3078538698299
AT1 2,7.883906163594453,0.6013176747995466,0.8988747865113322,1.5665818711844912,10.950680496089822,2120189.727332094
BA1 0,14.667984054156074,1.137039481970087,0.9856627696518356,1.8172302712237522,18.60791657700175,270052.7596991883
BE1 0,6791839.230434323,0.47386956349253395,0.8266777613545206,1.3864833959562592,6791841.917465043,2510471.9259692687
BE1 1,8459478.109195795,0.44015247321713674,0.8324923553553749,1.4041448464770117,8459480.78598547,10829741.211898323
BE1 2,75.88181190883944,0.470671858174295,0.8293443759191222,1.3945506683412008,78.57637881127405,18912931.990194432
BE1 3,1896423.0478045633,0.4606434725148778,0.8297741768240414,1.395459403774105,1896425.7336816166,5128361.251016129
BG1 0,403.80521385987157,1.7949630172359248,1.033027694628498,1.98034743517789,408.6135520069139,2190049.432671912
CH1 0,17.63182199060605,0.618495069224968,0.8570046012813013,1.4795570695299765,20.586878730642294,28591256.161944322
CH1 1,12.186375855759106,0.7094797068665337,0.8518535993576759,1.4634778909654191,15.211187052948736,3143684.0621018657
CZ1 0,6.854041072646209,0.47357993315316693,0.8887048423388803,1.5238934897708216,9.740219337909078,320454.24242614483
CZ1 1,8.455125162720648,0.4773175193272313,0.9052001062904449,1.5721204936736395,11.409763282011964,3290254.2855915707
CZ1 2,6.592797103254695,0.47817968029552793,0.8740711767654555,1.5020132716949703,9.447061232010649,971363.3327495615
DE1 0,9.542926433396811,0.5023600127653557,0.8436056679011701,1.4352700620002667,12.324162176063606,7613494.67295499
DE1 1,14.518549479725642,0.42792424292025427,0.8490999983948228,1.4508405860205635,17.246414307061283,282.1314009992947
DE1 10,8.976643621850304,0.43421349886500893,0.8610599958509013,1.4774551155569646,11.749372232123179,1614030.1413580228
DE1 11,12.760715927675765,0.4059728498872011,0.8379091144916753,1.4252477029729893,15.42984559502763,12904832.974227296
DE1 12,45363991.23701185,0.3910233290634218,0.8172616334033919,1.3763725989416522,45363993.821669415,44079881.744659886
DE1 13,10.064825853077867,0.5444276821931301,0.8525049031149783,1.4594214017567675,12.921179840142742,140540.15863629748
DE1 14,7.884498675157954,0.5425002884008568,0.8419339465554063,1.4321435311298447,10.70107644124406,7395963.922540662
DE1 15,7.756561847048943,0.43567498722592624,0.8529423605376205,1.4646181194469152,10.509797314259405,3346141.970442412
DE1 16,12.345494073522833,0.48983144611119933,0.8399601949156266,1.4261060869195297,15.10139180146919,6365292.60261941
DE1 17,21.285296118285075,0.5782879358138093,0.8748179954181315,1.5150270461403297,24.253429095657342,430106.839653681
DE1 18,9.542027214867721,0.48267436392335394,0.8614523617551604,1.484112921739765,12.370266862286,10154.67808704442
DE1 19,10.71137568614856,0.41634077724258484,0.8369180807113219,1.421687866552218,13.386322410654685,21369792.273201074
DE1 2,9.93509387938822,0.43330613939589907,0.8379990798937181,1.422199110896693,12.62859820957453,71065443.13684975
DE1 20,10.604102574641981,0.41532756025009676,0.8374233597020093,1.4238919871161153,13.280745481710202,37742232.50281735
DE1 21,3454484.8148968723,0.42936748815841175,0.8259629699147413,1.401574105498337,3454487.471801436,90124.1449435684
DE1 22,9.04200098566072,0.5065309706511374,0.8473993421905306,1.4475373620208223,11.843468660523213,20432.05099505654
DE1 3,11.71016730732979,0.5441151905077135,0.8579932913791929,1.47373405402077,14.586009843237468,360283.7412355069
DE1 4,9.010316466460072,0.43020709721674444,0.8588866698220017,1.4713911597193192,11.770801393218138,1180587.8546986831
DE1 5,30060231.844669405,0.39757819728090693,0.8313064002846065,1.4068735873316636,30060234.480427593,2790504.1131208707
DE1 6,8.221571474357724,0.5976963818927061,0.8431351918163137,1.4360533761750263,11.098456424241771,4856002.043124233
DE1 7,11.10590045575886,0.4415979254080683,0.8502374390237142,1.4611472445811546,13.858883064771797,2080473.8860917166
DE1 8,23490464.967575043,0.4002693718553607,0.8302134091013634,1.403560147915143,23490467.60161797,70151.22528623095
DE1 9,11.734020955829525,0.44424280330293525,0.8400901029654597,1.4390278852315417,14.45738174732946,20856954.863182772
DK1 0,163144245.2738043,0.3883687319449587,0.7732210621730007,1.2920875954412843,163144247.7274817,106723690.26729484
DK2 0,40585562.97700703,0.4581677881377706,0.7910784738262736,1.3328670467150612,40585565.55912034,19349941.36608838
EE6 0,6325501.828904845,0.34297851248300426,0.8890086149448742,1.502198122038546,6325504.563090095,997323.754332285
ES1 0,19334364.998465054,83783006.09252188,0.7445819605469248,1.226440346152956,103117373.06200925,43181307.12899489
ES1 1,5.823816216564041,16513.90094403508,0.753126353060755,1.2475822193280761,16521.725468824032,40046.3172714716
ES1 10,5309962.00796926,9.443349647677907,0.7556282600099132,1.254538684961173,5309973.4614858525,1832961.5725361153
ES1 2,6751915.031715182,7.24945645630082,0.7653889680082172,1.2837977602469657,6751924.3303583665,8391789.359694296
ES1 3,3872683.608831996,1.1091575602046981,0.760333236466274,1.2683530677341217,3872686.7466758606,9376845.810781023
ES1 4,59.739529646619864,125376910.68429893,0.7497227664452282,1.2397931742181563,125376972.41334452,192433832.2296417
