Bus,h2_generation_Electrolysis_MWh,h2_generation_Photocatalysis_MWh,h2_generation_SMR_MWh,h2_generation_SMR_CC_MWh,h2_generation_total_MWh,total_h2_demand_MWh
AL1 0,27.608603638541144,3.0266605734860734,1.9682596622426312,2.9957550492920415,35.59927892356189,20135.420285269116
AT1 0,6.881547711383417,0.6174387508339174,5.607011250193667,6.449771686049871,19.555769398460875,5510108.427343048
AT1 1,20.910094314516506,0.7387553586894388,3.1833126925824415,3.9751122072931757,28.80727457308156,1147.0019526326034
AT1 2,7.975036885400267,0.6892345755086792,3.7639048594580995,4.81089142249007,17.239067742857117,2120248.878790161
BA1 0,10.582058848079505,1.418009804877114,2.537121384018227,3.8363609470244824,18.373550983999326,270102.20373793895
BE1 0,5040575.526840622,0.6040029053615132,3.058795996590179,3.628009173533705,5040582.817648697,2510371.2989314054
BE1 1,471795.44203013554,0.5580495702841668,3.315966010672694,3.800317076514624,471803.116362793,16016859.600256847
BE1 2,46.21655319607675,0.5967252510199663,3.2521068515792795,3.758514326165255,53.82389962484125,7663093.027449036
BE1 3,58.94343573388735,0.5894622873022395,3.3157888222075194,3.7858984267218703,66.63458527011898,3441076.0036123875
BG1 0,184.8291641191472,4.156313496228101,2.1229611868722555,3.391729993816452,194.50016879606403,2190122.630857465
CH1 0,20.61393765289933,0.6786591460668785,2.5430404050387017,3.364218577916232,27.199855781921144,46689240.50210236
CH1 1,13.891224259100852,0.909597617432891,2.362669367923525,3.163519739275757,20.327010983733025,19632085.849039447
CZ1 0,6.304221299315467,0.513652923630642,12.736767667609202,8.670311238069349,28.22495312862466,320192.8979313523
CZ1 1,8.58162730738671,0.5668178226637162,11.96415168122596,8.432920843253367,29.545517654529753,3290180.5910042888
CZ1 2,5.178533462438567,0.5447810319191451,6.987216782107341,6.160818398346102,18.871349674811157,970277.698882694
DE1 0,7.3262469907957115,0.623150358415478,4.182628897928319,4.335543534835376,16.467569781974884,960489.8849159549
DE1 1,11.35815241304292,0.5263028839968955,4.750707644161191,4.551945775526816,21.18710871672782,312.316287026276
DE1 10,7.88071355251575,0.5303140214258516,6.464152135945229,5.66404026060295,20.53921997048978,740371.6916152023
DE1 11,10.430363541824914,0.5033654549282642,4.798938193236484,4.537177105026334,20.269844295015996,7926702.51206018
DE1 12,39570249.17987024,0.4354248314671033,4.288826324610997,3.9543367838470083,39570257.85845818,48368001.47691877
DE1 13,8.347651914080188,0.6392724201828266,3.2129168413374005,3.8409549303600365,16.040796105960453,140692.6032335763
DE1 14,6.75952231008562,0.6662016369811342,3.303358519381627,3.8752797456607366,14.60436221210912,8312061.645170932
DE1 15,7.0237004602818685,0.534416754728316,4.818945398896725,4.70583326549716,17.08289587940407,474618.8757731003
DE1 16,9.413393921190641,0.6146579776964477,3.1314356695843117,3.731219972696524,16.890707541167924,12138769.453431996
DE1 17,12.024137108135797,0.7303433673078449,3.9239563276439853,4.613256684684359,21.291693487771987,430134.15224270493
DE1 18,7.9935990559565875,0.5922368674959719,4.097562439196076,4.4811874908894165,17.16458585353805,10262.857300014939
DE1 19,10.82775481378356,0.4845701374503002,4.690880834605962,4.454599948043704,20.457805733883525,27959786.69895159
DE1 2,8.63462782310427,0.5330521141963893,4.147416735757872,4.275033105178921,17.59012977823745,27263303.8422123
DE1 20,8.75979493773746,0.5161738399813336,4.417523368933333,4.437859468071221,18.13135161472335,38033093.01339181
DE1 21,712055.6501145214,0.48977280321750943,4.232858603160655,3.98346458436035,712064.3562105121,90158.98308968033
DE1 22,7.539130060399026,0.6204601258642203,4.489694804964804,4.551514556158439,17.200799547386488,20351.2092498206
DE1 3,8.844235876835656,0.6434220870947711,3.456871637094946,4.093589588089029,17.0381191891144,360430.7165399369
DE1 4,8.225047392746522,0.5159866670339389,5.030809763387854,4.893515849514891,18.665359672683206,1180333.3206028347
DE1 5,7483094.200978564,0.4420476642618152,4.794922032509156,4.503051594168426,7483103.940999854,2809590.061316159
DE1 6,9.04103230102098,0.7498022162828528,2.5446219499000984,3.322177270533269,15.657633737737198,12626991.462908939
DE1 7,10.530613332998467,0.5074368361149006,5.552953313701494,4.940653816911225,21.53165729972609,2080488.682500367
DE1 8,12952670.788621053,0.4961016872160437,4.350191635095415,4.31798688007364,12952679.952901255,70230.48403786164
DE1 9,10.862948087161415,0.5216897873457939,4.632541515398813,4.481683297175247,20.49886268708127,21008529.320911996
DK1 0,119109930.50717658,0.4621275434842117,2.9792648187288533,2.9230484471692604,119109936.87161739,20861603.10374197
DK2 0,41355585.499816895,0.5627552234280935,3.2915615093642154,3.1279402937849845,41355592.482073925,6965550.918489331
EE6 0,6013584.840981511,0.39173307724445827,1.7649464733677749,2.4660942200558607,6013589.463755283,4629552.100500675
ES1 0,59446356.43870477,83782990.87713979,1.2580909538965583,1.8047313700698955,143229350.37866688,150703051.15749556
ES1 1,8.132555548613167,2219297.07309076,1.1356815139558272,1.6817210139444685,2219308.0230488367,40064.48186740669
ES1 10,21630342.80369684,9.882051448577176,1.3097091061335946,1.8733073850661737,21630355.86876478,2433584.158652576
ES1 2,20252186.333079092,14.572779118111676,1.3510346830065811,1.9374015988547022,20252204.194294494,24526064.86487965
ES1 3,6522078.201363593,1.412794036145865,1.334538722381449,1.9089580457154134,6522082.857654397,17606984.720986843
ES1 4,21724275.30139664,125411229.40100898,1.1470740763556888,1.6964837825801786,147135507.5459635,220515158.5578098
ES1 5,32964696.379594892,36.49846600888134,1.188162903241211,1.7493944881275625,32964735.81561829,29943827.95423243
